index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Clr,Recov,xA,xGC,home,game_id
0,14 Players,,,,,990,0,0,0,0,5,2,2,0,638,11,10,9,0.1,0.1,0.1,8,0,485,562,86.3,27,391,10,12,6,,,,,,,,,,,,,,,,,,,,,0,1,0.0,5.2,1,0
1,Aboubakar Kamara,47.0,mr MTN,FW,25-189,62,0,0,0,0,1,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,12,16,75.0,0,16,0,3,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,5.2,1,0
2,Aleksandar Mitrović,9.0,rs SRB,FW,25-362,28,0,0,0,0,1,1,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,7,0,1,1,,,,,,,,,,,,,,,,,,,,,0,7,0.0,5.2,1,0
3,Andre-Frank Zambo Anguissa,29.0,cm CMR,RW,24-301,28,0,0,0,0,0,0,0,0,23,2,0,1,0.0,0.0,0.0,1,0,16,17,94.1,2,16,0,3,2,,,,,,,,,,,,,,,,,,,,,0,6,0.0,5.2,1,0
4,Bobby De Cordova-Reid,14.0,jm JAM,AM,27-223,16,0,0,0,0,1,0,0,0,11,1,0,1,0.0,0.0,0.0,0,0,3,5,60.0,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,0,2,0.0,5.2,1,0
5,Denis Odoi,4.0,gh GHA,RB,32-108,90,0,0,0,0,1,1,0,0,69,0,2,0,0.0,0.0,0.0,0,0,53,64,82.8,2,42,0,0,0,,,,,,,,,,,,,,,,,,,,,0,2,0.0,5.2,1,0
6,Harrison Reed,21.0,eng ENG,DM,25-229,90,0,0,0,0,0,0,0,0,77,2,3,0,0.0,0.0,0.0,0,0,69,72,95.8,4,46,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,5.2,1,0
7,Ivan Cavaleiro,17.0,pt POR,LW,26-330,90,0,0,0,0,0,0,0,0,41,0,1,1,0.0,0.0,0.1,4,0,25,34,73.5,2,28,2,2,0,,,,,,,,,,,,,,,,,,,,,0,5,0.1,5.2,1,0
8,Joe Bryan,23.0,eng ENG,LB,26-361,90,0,0,0,0,0,0,0,0,69,0,4,0,0.0,0.0,0.0,2,0,50,63,79.4,4,33,2,0,0,,,,,,,,,,,,,,,,,,,,,0,4,0.0,5.2,1,0
9,Josh Onomah,25.0,eng ENG,AM,23-138,74,0,0,0,0,0,0,0,0,30,2,0,1,0.0,0.0,0.0,0,0,19,24,79.2,3,17,0,1,1,,,,,,,,,,,,,,,,,,,,,3,2,0.0,5.2,1,0
