index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Clr,Recov,home,game_id
0,16 Players,,,,,989,0,0,0,0,6,1,0,1,496,12,7,12,0.3,0.3,0.3,10,0,313,395,79.2,18,225,10,15,3,,,,,,,,,,,,,,,,,,,,,1,4,1,0
1,Ameen Al-Dakhil,28.0,be BEL,CB,21-158,90,0,0,0,0,0,0,0,0,51,2,1,2,0.0,0.0,0.0,0,0,32,38,84.2,3,24,1,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0
2,Anass Zaroury,19.0,ma MAR,FW,22-277,29,0,0,0,0,1,0,0,1,13,0,0,0,0.0,0.0,0.0,1,0,10,12,83.3,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,2,5,1,0
3,Benson Manuel,10.0,ao ANG,FW,26-136,17,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,7,1,4,0,,,,,,,,,,,,,,,,,,,,,0,0,1,0
4,Connor Roberts,14.0,wls WAL,RB,27-322,90,0,0,0,0,0,0,0,0,51,2,0,0,0.0,0.0,0.0,0,0,39,46,84.8,4,17,0,0,0,,,,,,,,,,,,,,,,,,,,,0,5,1,0
5,Dara O'Shea,2.0,ie IRL,CB,24-160,90,0,0,0,0,0,0,0,0,62,0,1,2,0.0,0.0,0.0,0,0,42,56,75.0,3,27,0,0,0,,,,,,,,,,,,,,,,,,,,,0,3,1,0
6,Jacob Bruun Larsen,34.0,dk DEN,RM,24-326,30,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,4,6,66.7,2,4,3,0,0,,,,,,,,,,,,,,,,,,,,,0,0,1,0
7,James Trafford,1.0,eng ENG,GK,20-305,90,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0,0,39,52,75.0,1,32,0,0,0,8.0,3.0,5.0,62.5,2.7,5.0,16.0,31.3,47.0,8.0,27.7,26.8,5.0,60.0,40.4,14.0,0.0,0.0,4.0,22.3,0,5,1,0
8,Jordan Beyer,5.0,de GER,CB,23-084,73,0,0,0,0,0,0,0,0,49,4,4,2,0.0,0.0,0.0,0,0,28,35,80.0,0,21,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0
9,Josh Brownhill,8.0,eng ENG,CM,27-235,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,2,1,0
10,Josh Cullen,24.0,ie IRL,CM,27-126,90,0,0,0,0,0,0,0,0,46,1,0,1,0.0,0.0,0.0,0,0,37,43,86.0,2,16,0,0,0,,,,,,,,,,,,,,,,,,,,,4,2,1,0
11,Luca Koleosho,30.0,it ITA,RM,18-330,60,0,0,0,0,1,0,0,0,23,0,0,0,0.1,0.1,0.1,2,0,8,14,57.1,0,18,1,2,0,,,,,,,,,,,,,,,,,,,,,0,0,1,0
12,Lyle Foster,17.0,za RSA,LM,22-342,89,0,0,0,0,2,0,0,0,37,2,0,2,0.1,0.1,0.0,3,0,14,20,70.0,2,14,2,3,1,,,,,,,,,,,,,,,,,,,,,1,6,1,0
13,Nathan Redmond,15.0,eng ENG,LM,29-158,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,4,4,1,0
14,Sander Berge,16.0,no NOR,CM,25-178,89,0,0,0,0,0,0,0,0,33,0,0,1,0.0,0.0,0.0,0,0,23,28,82.1,1,12,0,0,0,,,,,,,,,,,,,,,,,,,,,1,3,1,0
15,Vitinho,22.0,br BRA,LB,24-019,90,0,0,0,0,0,0,0,0,31,0,1,2,0.0,0.0,0.1,2,0,20,25,80.0,0,14,1,1,0,,,,,,,,,,,,,,,,,,,,,1,5,1,0
16,Zeki Amdouni,25.0,ch SUI,FW,22-250,60,0,0,0,0,1,1,0,0,23,1,0,0,0.0,0.0,0.0,1,0,10,11,90.9,0,11,1,4,2,,,,,,,,,,,,,,,,,,,,,16,45,1,0
0,16 Players,,,,,990,3,2,0,0,17,8,0,0,835,17,4,9,2.1,2.1,1.3,29,5,655,740,88.5,28,558,12,10,3,,,,,,,,,,,,,,,,,,,,,1,3,0,0
1,Aymeric Laporte,14.0,es ESP,CB,29-076,12,0,0,0,0,1,1,0,0,14,0,0,1,0.0,0.0,0.0,0,0,11,11,100.0,0,10,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2,Bernardo Silva,20.0,pt POR,"CM,RW",29-001,90,0,0,0,0,0,0,0,0,75,1,0,0,0.0,0.0,0.0,0,0,61,70,87.1,3,58,2,1,0,,,,,,,,,,,,,,,,,,,,,0,2,0,0
3,Cole Palmer,80.0,eng ENG,LM,21-097,11,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,0,4,0,0
4,Ederson,31.0,br BRA,GK,29-359,90,0,0,0,0,0,0,0,0,75,0,0,0,0.0,0.0,0.0,1,0,62,75,82.7,0,49,0,0,0,1.0,0.0,1.0,100.0,0.0,12.0,22.0,54.5,68.0,5.0,29.4,31.5,7.0,28.6,28.9,7.0,1.0,14.3,1.0,18.8,0,2,0,0
5,Erling Haaland,9.0,no NOR,FW,23-021,79,2,0,0,0,4,2,0,0,18,0,0,0,0.6,0.6,0.3,3,0,9,11,81.8,1,15,1,0,0,,,,,,,,,,,,,,,,,,,,,0,8,0,0
6,James Mcatee,87.0,eng ENG,"DM,RB",20-297,1,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,2,0,0
7,Joško Gvardiol,24.0,hr CRO,LB,21-200,12,0,0,0,0,0,0,0,0,13,2,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0
8,Julián Álvarez,19.0,ar ARG,"LM,AM,FW",23-192,90,0,1,0,0,3,1,0,0,53,1,0,1,0.3,0.3,0.3,6,1,36,44,81.8,2,25,2,0,0,,,,,,,,,,,,,,,,,,,,,0,9,0,0
9,Kevin De Bruyne,17.0,be BEL,DM,32-044,22,0,0,0,0,1,0,0,0,12,0,0,0,0.0,0.0,0.2,2,1,6,10,60.0,1,5,0,0,0,,,,,,,,,,,,,,,,,,,,,1,2,0,0
10,Kyle Walker,2.0,eng ENG,RB,33-075,89,0,0,0,0,0,0,0,0,81,0,0,0,0.0,0.0,0.0,2,1,66,72,91.7,2,48,1,3,0,,,,,,,,,,,,,,,,,,,,,1,5,0,0
11,Manuel Akanji,25.0,ch SUI,"CB,RB",28-023,90,0,0,0,0,0,0,0,0,109,3,0,2,0.0,0.0,0.0,1,0,89,102,87.3,2,78,1,0,0,,,,,,,,,,,,,,,,,,,,,1,2,0,0
12,Mateo Kovačić,8.0,hr CRO,CM,29-097,68,0,0,0,0,0,0,0,0,72,2,0,3,0.0,0.0,0.2,2,0,61,64,95.3,4,50,1,3,1,,,,,,,,,,,,,,,,,,,,,2,2,0,0
13,Nathan Aké,6.0,nl NED,CB,28-174,78,0,0,0,0,1,0,0,0,79,3,2,0,0.3,0.3,0.0,2,1,65,69,94.2,1,53,1,0,0,,,,,,,,,,,,,,,,,,,,,1,9,0,0
14,Phil Foden,47.0,eng ENG,"RM,LW",23-075,90,0,0,0,0,3,1,0,0,58,0,1,1,0.3,0.3,0.1,4,0,37,48,77.1,5,43,1,2,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0
15,Rico Lewis,82.0,eng ENG,LB,18-263,78,0,0,0,0,0,0,0,0,47,0,1,0,0.0,0.0,0.0,1,0,36,42,85.7,3,30,1,1,1,,,,,,,,,,,,,,,,,,,,,0,3,0,0
16,Rodri,16.0,es ESP,"DM,CB",27-050,90,1,1,0,0,4,3,0,0,122,5,0,0,0.5,0.5,0.2,5,1,107,110,97.3,4,84,1,0,0,,,,,,,,,,,,,,,,,,,,,7,54,0,0
0,14 Players,,,,,990,2,2,0,0,15,7,2,0,902,19,7,6,0.8,0.8,0.6,30,4,716,807,88.7,58,706,34,15,4,,,,,,,,,,,,,,,,,,,,,0,1,1,1
1,Aaron Ramsdale,1.0,eng ENG,GK,25-090,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,23,29,79.3,0,20,0,0,0,2.0,1.0,1.0,50.0,0.9,1.0,6.0,16.7,23.0,4.0,21.7,28.7,6.0,16.7,24.3,3.0,1.0,33.3,0.0,3.3,0,3,1,1
2,Ben White,4.0,eng ENG,"CB,RB",25-308,90,0,0,0,0,0,0,1,0,110,0,2,0,0.0,0.0,0.0,2,0,94,106,88.7,7,91,2,1,0,,,,,,,,,,,,,,,,,,,,,0,8,1,1
3,Bukayo Saka,7.0,eng ENG,RW,21-341,90,1,0,0,0,3,2,0,0,81,5,0,1,0.2,0.2,0.1,4,0,49,67,73.1,3,62,11,2,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1
4,Declan Rice,41.0,eng ENG,CM,24-210,90,0,0,0,0,3,3,0,0,103,4,1,0,0.2,0.2,0.0,0,0,84,91,92.3,3,86,1,2,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1
5,Eddie Nketiah,14.0,eng ENG,FW,24-074,73,1,0,0,0,3,1,0,0,26,1,0,1,0.2,0.2,0.0,1,0,16,16,100.0,0,14,0,3,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1
6,Gabriel Magalhães,6.0,br BRA,CB,25-236,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,0,5,1,1
7,Gabriel Martinelli,11.0,br BRA,LW,22-055,85,0,1,0,0,0,0,0,0,47,1,0,1,0.0,0.0,0.2,3,1,31,33,93.9,3,35,3,4,2,,,,,,,,,,,,,,,,,,,,,1,7,1,1
8,Jurriën Timber,12.0,nl NED,LB,22-056,49,0,0,0,0,0,0,1,0,51,1,0,0,0.0,0.0,0.0,0,0,44,49,89.8,7,39,0,0,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1
9,Kai Havertz,29.0,de GER,"LM,FW",24-062,90,0,0,0,0,2,0,0,0,65,1,1,1,0.1,0.1,0.2,3,0,47,54,87.0,4,54,3,1,0,,,,,,,,,,,,,,,,,,,,,3,1,1,1
10,Leandro Trossard,19.0,be BEL,"LM,LW",28-251,17,0,0,0,0,0,0,0,0,12,1,0,1,0.0,0.0,0.0,3,0,7,10,70.0,1,5,1,1,1,,,,,,,,,,,,,,,,,,,,,1,5,1,1
11,Martin Ødegaard,8.0,no NOR,RM,24-238,90,0,0,0,0,3,0,0,0,80,3,0,0,0.1,0.1,0.0,6,0,55,69,79.7,9,65,8,0,0,,,,,,,,,,,,,,,,,,,,,0,3,1,1
12,Takehiro Tomiyasu,18.0,jp JPN,LB,24-280,41,0,0,0,0,1,1,0,0,48,0,1,0,0.0,0.0,0.0,0,0,37,43,86.0,3,39,0,0,0,,,,,,,,,,,,,,,,,,,,,0,9,1,1
13,Thomas Partey,5.0,gh GHA,"RB,LM",30-060,90,0,0,0,0,0,0,0,0,113,2,2,1,0.0,0.0,0.1,6,2,100,107,93.5,11,80,5,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1
14,William Saliba,2.0,fr FRA,CB,22-141,90,0,1,0,0,0,0,0,0,132,0,0,0,0.0,0.0,0.0,2,1,127,130,97.7,7,114,0,0,0,,,,,,,,,,,,,,,,,,,,,9,48,1,1
0,16 Players,,,,,990,1,1,0,0,6,2,2,0,336,17,8,10,1.2,1.2,1.2,10,2,154,228,67.5,14,159,11,18,7,,,,,,,,,,,,,,,,,,,,,0,4,0,1
1,Anthony Elanga,21.0,se SWE,RW,21-107,11,0,1,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.6,3,1,2,3,66.7,1,4,1,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1
2,Brennan Johnson,20.0,wls WAL,"FW,RW",22-081,79,0,0,0,0,1,0,0,0,15,1,0,2,0.3,0.3,0.0,0,0,6,6,100.0,0,11,1,2,0,,,,,,,,,,,,,,,,,,,,,1,4,0,1
3,Cheikhou Kouyaté,8.0,sn SEN,CM,33-234,1,0,0,0,0,1,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,3,3,100.0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,4,0,1
4,Chris Wood,11.0,nz NZL,FW,31-248,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1
5,Danilo,28.0,br BRA,RW,22-105,70,0,0,0,0,0,0,0,0,26,3,0,1,0.0,0.0,0.0,0,0,11,19,57.9,3,10,2,2,2,,,,,,,,,,,,,,,,,,,,,4,1,0,1
6,Joe Worrall,4.0,eng ENG,CB,26-214,89,0,0,0,0,0,0,0,0,24,1,1,1,0.0,0.0,0.0,0,0,10,16,62.5,0,11,0,0,0,,,,,,,,,,,,,,,,,,,,,0,3,0,1
7,Matt Turner,1.0,us USA,GK,29-049,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,22,33,66.7,0,21,0,0,0,7.0,2.0,5.0,71.4,2.0,9.0,19.0,47.4,28.0,12.0,50.0,39.1,5.0,100.0,69.2,10.0,0.0,0.0,0.0,,0,2,0,1
8,Morgan Gibbs-White,10.0,eng ENG,"LW,LM",23-197,90,0,0,0,0,1,0,0,0,34,1,1,0,0.1,0.1,0.2,1,0,12,20,60.0,2,19,2,7,3,,,,,,,,,,,,,,,,,,,,,0,0,0,1
9,Neco Williams,7.0,wls WAL,"LM,LB",22-121,19,0,0,0,0,0,0,0,0,7,0,2,1,0.0,0.0,0.0,1,0,3,5,60.0,1,5,1,1,1,,,,,,,,,,,,,,,,,,,,,0,4,0,1
10,Ola Aina,43.0,ng NGA,LM,26-308,71,0,0,0,0,1,0,1,0,23,3,0,0,0.0,0.0,0.0,1,0,9,14,64.3,0,8,1,2,1,,,,,,,,,,,,,,,,,,,,,1,3,0,1
11,Orel Mangala,5.0,be BEL,CM,25-147,89,0,0,0,0,0,0,1,0,21,1,1,1,0.0,0.0,0.0,1,0,10,13,76.9,1,13,0,2,0,,,,,,,,,,,,,,,,,,,,,4,2,0,1
12,Ryan Yates,22.0,eng ENG,"CM,RM",25-264,90,0,0,0,0,0,0,0,0,38,1,0,2,0.0,0.0,0.0,1,0,21,26,80.8,2,14,3,1,0,,,,,,,,,,,,,,,,,,,,,5,1,0,1
13,Scott McKenna,26.0,sct SCO,CB,26-273,90,0,0,0,0,0,0,0,0,32,2,2,0,0.0,0.0,0.0,0,0,13,21,61.9,0,10,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1
14,Serge Aurier,24.0,ci CIV,"RM,RB",30-231,90,0,0,0,0,0,0,0,0,20,2,1,0,0.0,0.0,0.0,0,0,6,12,50.0,1,11,0,1,0,,,,,,,,,,,,,,,,,,,,,2,4,0,1
15,Taiwo Awoniyi,9.0,ng NGA,"FW,LW",26-000,20,1,0,0,0,1,1,0,0,10,0,0,0,0.6,0.6,0.0,1,1,3,5,60.0,0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1
16,Willy Boly,30.0,ci CIV,CB,32-190,90,0,0,0,0,1,1,0,0,40,2,0,1,0.2,0.2,0.3,1,0,23,31,74.2,2,15,0,0,0,,,,,,,,,,,,,,,,,,,,,18,34,0,1
0,13 Players,,,,,990,0,0,0,0,19,9,0,0,531,13,13,13,2.7,2.7,2.4,36,0,316,426,74.2,29,292,15,14,7,,,,,,,,,,,,,,,,,,,,,1,4,1,2
1,Abdoulaye Doucouré,16.0,ml MLI,FW,30-223,90,0,0,0,0,2,1,0,0,36,0,0,2,0.6,0.6,0.8,3,0,22,27,81.5,3,20,3,2,0,,,,,,,,,,,,,,,,,,,,,0,0,1,2
2,Alex Iwobi,17.0,ng NGA,"LM,RM",27-101,90,0,0,0,0,4,2,0,0,44,1,1,2,0.3,0.3,0.1,11,0,22,30,73.3,4,25,3,4,3,,,,,,,,,,,,,,,,,,,,,0,3,1,2
3,Amadou Onana,8.0,be BEL,CM,21-361,90,0,0,0,0,1,1,0,0,38,0,1,1,0.1,0.1,1.1,5,0,27,32,84.4,4,25,2,0,0,,,,,,,,,,,,,,,,,,,,,0,5,1,2
4,Arnaut Danjuma,10.0,nl NED,FW,26-193,19,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.2,0,0,3,5,60.0,2,4,1,1,0,,,,,,,,,,,,,,,,,,,,,1,4,1,2
5,Ashley Young,18.0,eng ENG,LB,38-034,90,0,0,0,0,0,0,0,0,55,1,0,0,0.0,0.0,0.0,3,0,34,50,68.0,1,28,0,2,1,,,,,,,,,,,,,,,,,,,,,2,15,1,2
