index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Clr,Recov,home,game_id
1,Aaron Ramsdale,1.0,eng ENG,GK,24-083,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,32.0,75.0,0.0,24.0,0.0,0.0,0.0,2.0,0.0,2.0,100.0,0.3,8.0,15.0,53.3,30.0,4.0,46.7,36.5,2.0,50.0,43.5,16.0,2.0,12.5,1.0,15.7,0.0,1.0,0,0
2,Albert Sambi Lokonga,23.0,be BEL,"CM,RW",22-287,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0,0
3,Ben White,4.0,eng ENG,RB,24-301,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,63.0,8.0,1.0,4.0,0.0,0.0,0.1,1.0,0.0,31.0,41.0,75.6,6.0,24.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,4.0,0,0
4,Bukayo Saka,7.0,eng ENG,RW,20-334,90,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,48.0,2.0,0.0,3.0,0.3,0.3,0.0,3.0,1.0,25.0,35.0,71.4,1.0,31.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,3.0,5.0,0,0
5,Eddie Nketiah,14.0,eng ENG,FW,23-067,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,3.0,3.0,100.0,1.0,3.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,8.0,0,0
6,Gabriel Jesus,9.0,br BRA,FW,25-124,82,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,1.0,1.0,0.0,0.1,0.1,0.0,4.0,0.0,20.0,28.0,71.4,3.0,24.0,3.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,1.0,7.0,0,0
7,Gabriel Magalhães,6.0,br BRA,CB,24-229,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,52.0,58.0,89.7,1.0,48.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0,0
8,Gabriel Martinelli,11.0,br BRA,LW,21-048,90,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,35.0,0.0,0.0,1.0,0.4,0.4,0.1,1.0,0.0,24.0,28.0,85.7,3.0,27.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,1.0,6.0,0,0
9,Granit Xhaka,34.0,ch SUI,LM,29-312,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,61.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,41.0,48.0,85.4,8.0,33.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0,0
10,Kieran Tierney,3.0,sct SCO,LB,25-061,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0,0
11,Martin Ødegaard,8.0,no NOR,RM,23-231,89,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,51.0,2.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,29.0,41.0,70.7,4.0,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,7.0,7.0,0,0
12,Oleksandr Zinchenko,35.0,ua UKR,LB,25-233,82,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,68.0,5.0,3.0,0.0,0.0,0.0,0.3,2.0,1.0,43.0,55.0,78.2,5.0,38.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,4.0,6.0,0,0
13,Thomas Partey,5.0,gh GHA,CM,29-053,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,6.0,1.0,3.0,0.1,0.1,0.1,1.0,0.0,38.0,47.0,80.9,6.0,37.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0,0
14,William Saliba,12.0,fr FRA,CB,21-134,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,45.0,48.0,93.8,2.0,40.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,24.0,55.0,0,0
0,14 Players,,,,,990,2.0,1.0,1.0,1.0,8.0,2.0,2.0,0.0,474.0,24.0,10.0,9.0,1.2,0.5,0.4,14.0,4.0,203.0,340.0,59.7,31.0,233.0,10.0,11.0,5.0,,,,,,,,,,,,,,,,,,,,,3.0,7.0,1,1
1,Aleksandar Mitrović,9.0,rs SRB,FW,27-324,90,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,45.0,1.0,1.0,1.0,0.9,0.2,0.1,4.0,1.0,10.0,28.0,35.7,4.0,26.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,7.0,1,1
2,Andreas Pereira,18.0,br BRA,AM,26-217,88,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,16.0,30.0,53.3,2.0,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,1
3,Antonee Robinson,33.0,us USA,LB,24-363,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,46.0,58.7,3.0,26.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1,1
4,Bobby De Cordova-Reid,14.0,jm JAM,"LW,RW",29-185,89,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,37.0,2.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,19.0,26.0,73.1,1.0,30.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,4.0,1,1
