index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Clr,Recov,home,game_id
0,14 Players,,,,,990,3.0,3.0,0.0,0.0,15.0,7.0,0.0,0.0,627.0,21.0,14.0,11.0,1.8,1.8,1.6,25.0,5.0,410.0,528.0,77.7,54.0,383.0,32.0,15.0,11.0,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1,0
1,Adrián,13.0,es ESP,GK,32-218,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,77.8,0.0,13.0,0.0,0.0,0.0,3.0,1.0,2.0,66.7,1.1,3.0,6.0,50.0,15.0,0.0,33.3,33.0,3.0,33.3,27.3,0.0,0.0,,0.0,,0.0,1.0,1,0
2,Alisson,1.0,br BRA,GK,26-311,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,83.3,0.0,7.0,0.0,0.0,0.0,2.0,,2.0,,0.2,,1.0,,9.0,1.0,11.1,30.1,3.0,0.0,20.0,1.0,,,1.0,14.5,0.0,2.0,1,0
3,Andrew Robertson,26.0,sct SCO,LB,25-151,90,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,93.0,1.0,1.0,2.0,0.1,0.1,0.0,1.0,0.0,71.0,84.0,84.5,12.0,61.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,0
4,Divock Origi,27.0,be BEL,LW,24-113,73,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,31.0,3.0,1.0,0.0,0.2,0.2,0.1,3.0,0.0,12.0,22.0,54.5,2.0,20.0,6.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1,0
5,Fabinho,3.0,br BRA,CM,25-290,90,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,8.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,34.0,43.0,79.1,4.0,24.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,6.0,1,0
6,Georginio Wijnaldum,5.0,nl NED,"LM,AM",28-271,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,37.0,40.0,92.5,6.0,37.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,10.0,1,0
7,James Milner,7.0,eng ENG,LM,33-217,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,6.0,1,0
8,Joe Gomez,12.0,eng ENG,CB,22-078,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,45.0,54.0,83.3,8.0,34.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,6.0,1,0
9,Jordan Henderson,14.0,eng ENG,RM,29-053,90,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,68.0,2.0,2.0,1.0,0.1,0.1,0.0,3.0,1.0,47.0,60.0,78.3,9.0,44.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1,0
10,Mohamed Salah,11.0,eg EGY,"RW,FW",27-055,90,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,44.0,0.0,0.0,0.0,0.3,0.3,0.2,5.0,1.0,24.0,38.0,63.2,3.0,25.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,0.0,4.0,1,0
11,Roberto Firmino,9.0,br BRA,FW,27-311,85,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,42.0,1.0,0.0,1.0,0.8,0.8,0.3,3.0,1.0,23.0,30.0,76.7,1.0,26.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,2.0,7.0,1,0
12,Sadio Mané,10.0,sn SEN,"LW,FW",27-121,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,81.8,0.0,11.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,0
13,Trent Alexander-Arnold,66.0,eng ENG,RB,20-306,90,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,70.0,1.0,2.0,1.0,0.2,0.2,0.9,3.0,1.0,32.0,56.0,57.1,4.0,36.0,5.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,0
14,Virgil van Dijk,4.0,nl NED,CB,28-032,90,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,70.0,3.0,5.0,1.0,0.1,0.1,0.0,0.0,0.0,50.0,57.0,87.7,5.0,43.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,6.0,54.0,1,0
0,14 Players,,,,,990,1.0,1.0,0.0,0.0,12.0,5.0,2.0,0.0,534.0,12.0,11.0,9.0,0.9,0.9,0.8,21.0,2.0,307.0,404.0,76.0,26.0,302.0,12.0,16.0,10.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0,0
1,Ben Godfrey,4.0,eng ENG,CB,21-206,90,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,61.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,43.0,81.4,0.0,34.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0
2,Emi Buendía,17.0,ar ARG,"RW,RM",22-227,90,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,52.0,1.0,1.0,3.0,0.1,0.1,0.4,4.0,1.0,26.0,38.0,68.4,6.0,28.0,0.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,4.0,0,0
3,Grant Hanley,5.0,sct SCO,CB,27-262,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,26.0,92.3,0.0,22.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0,0
4,Jamal Lewis,12.0,nir NIR,LB,21-196,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1.0,0.0,3.0,0.0,0.0,0.1,4.0,0.0,36.0,51.0,70.6,4.0,25.0,6.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0,0
5,Josip Drmić,20.0,ch SUI,FW,27-001,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0,0
6,Kenny McLean,23.0,sct SCO,"DM,CM",27-213,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,32.0,90.6,3.0,27.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,5.0,6.0,0,0
7,Marco Stiepermann,18.0,de GER,AM,28-181,57,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,11.0,16.0,68.8,1.0,10.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0
8,Max Aarons,2.0,eng ENG,RB,19-217,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,28.0,36.0,77.8,1.0,24.0,1.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,3.0,1.0,0,0
9,Moritz Leitner,10.0,de GER,"DM,CM",26-244,33,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,17.0,82.4,2.0,15.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,4.0,2.0,0,0
10,Onel Hernández,11.0,cu CUB,LW,26-189,21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,3.0,6.0,50.0,1.0,4.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,8.0,9.0,0,0
11,Teemu Pukki,22.0,fi FIN,FW,29-133,82,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,26.0,1.0,1.0,0.0,0.5,0.5,0.1,4.0,0.0,9.0,14.0,64.3,2.0,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0,0
12,Tim Krul,1.0,nl NED,GK,31-128,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,52.0,59.6,0.0,34.0,0.0,0.0,0.0,7.0,4.0,4.0,42.9,1.6,8.0,28.0,28.6,37.0,6.0,56.8,38.7,15.0,46.7,36.8,24.0,2.0,8.3,0.0,5.3,7.0,6.0,0,0
13,Todd Cantwell,14.0,eng ENG,"LW,AM,LM",21-163,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2.0,1.0,0.0,0.0,0.0,0.1,4.0,0.0,28.0,35.0,80.0,6.0,35.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0,0
14,Tom Trybull,19.0,de GER,DM,26-153,69,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,35.0,88.6,0.0,24.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,40.0,37.0,0,0
0,14 Players,,,,,990,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,523.0,18.0,9.0,7.0,1.1,1.1,0.4,9.0,0.0,350.0,445.0,78.7,27.0,309.0,10.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,0.0,4.0,1,1
1,Aaron Cresswell,3.0,eng ENG,LB,29-238,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,31.0,40.0,77.5,2.0,28.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,1
2,Declan Rice,41.0,eng ENG,"DM,CM",20-208,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,45.0,88.9,2.0,36.0,0.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,0.0,4.0,1,1
3,Fabián Balbuena,4.0,py PAR,CB,27-352,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,75.0,1.0,31.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1,1
4,Felipe Anderson,8.0,br BRA,"RW,RM",26-117,65,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,26.0,69.2,4.0,22.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,1
5,Issa Diop,23.0,fr FRA,CB,22-213,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,1.0,2.0,2.0,0.3,0.3,0.0,0.0,0.0,34.0,39.0,87.2,1.0,24.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,6.0,1,1
6,Jack Wilshere,19.0,eng ENG,DM,27-221,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,24.0,87.5,2.0,20.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,8.0,1,1
7,Javier Hernández,9.0,mx MEX,FW,31-070,25,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.7,0.7,0.0,2.0,0.0,7.0,7.0,100.0,2.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1,1
8,Manuel Lanzini,10.0,ar ARG,"AM,LM",26-176,90,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,57.0,1.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,39.0,49.0,79.6,4.0,39.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,0.0,3.0,1,1
9,Michail Antonio,30.0,jm JAM,LW,29-135,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,1.0,0.0,0.0,0.1,1.0,0.0,12.0,23.0,52.2,2.0,14.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1,1
10,Pablo Fornals,18.0,es ESP,"RM,LW,CM",23-169,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,78.6,1.0,14.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2.0,5.0,1,1
11,Robert Snodgrass,11.0,sct SCO,CM,31-337,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3,2.0,0.0,14.0,18.0,77.8,3.0,10.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,1,1
12,Ryan Fredericks,24.0,eng ENG,RB,26-304,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,50.0,78.0,2.0,24.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2.0,4.0,1,1
13,Sébastien Haller,22.0,ci CIV,FW,25-049,90,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,4.0,3.0,0.0,0.1,0.1,0.0,0.0,0.0,31.0,35.0,88.6,1.0,20.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,1
14,Łukasz Fabiański,1.0,pl POL,GK,34-114,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,35.0,65.7,0.0,23.0,0.0,1.0,1.0,9.0,5.0,4.0,55.6,4.0,9.0,20.0,45.0,29.0,6.0,48.3,39.3,6.0,100.0,66.5,3.0,0.0,0.0,0.0,13.5,10.0,47.0,1,1
0,14 Players,,,,,990,5.0,4.0,1.0,1.0,13.0,8.0,2.0,0.0,682.0,18.0,13.0,8.0,3.2,2.4,2.4,24.0,6.0,494.0,578.0,85.5,54.0,485.0,37.0,18.0,13.0,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0,1
1,Aymeric Laporte,14.0,es ESP,CB,25-075,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,66.0,74.0,89.2,3.0,56.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0,1
2,David Silva,21.0,es ESP,LM,33-214,79,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,71.0,1.0,0.0,0.0,0.0,0.0,0.1,4.0,0.0,48.0,62.0,77.4,10.0,56.0,7.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,0.0,5.0,0,1
3,Ederson,31.0,br BRA,GK,25-358,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,37.0,91.9,0.0,26.0,0.0,0.0,0.0,3.0,0.0,3.0,100.0,1.4,1.0,3.0,33.3,31.0,7.0,6.5,20.0,5.0,20.0,25.4,8.0,1.0,12.5,1.0,14.5,0.0,7.0,0,1
4,Gabriel Jesus,9.0,br BRA,FW,22-129,68,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,15.0,0.0,0.0,1.0,0.2,0.2,0.0,1.0,0.0,10.0,11.0,90.9,1.0,8.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0,1
5,John Stones,5.0,eng ENG,CB,25-074,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,52.0,94.2,3.0,44.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,1
6,Kevin De Bruyne,17.0,be BEL,RM,28-043,78,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,60.0,4.0,2.0,2.0,0.0,0.0,0.9,6.0,2.0,38.0,51.0,74.5,10.0,45.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,6.0,0,1
7,Kyle Walker,2.0,eng ENG,RB,29-074,90,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,71.0,1.0,1.0,1.0,0.1,0.1,0.2,2.0,0.0,54.0,63.0,85.7,2.0,37.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,9.0,0,1
8,Oleksandr Zinchenko,11.0,ua UKR,LB,22-238,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75.0,2.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,59.0,67.0,88.1,6.0,56.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0,1
9,Phil Foden,47.0,eng ENG,AM,19-074,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,4.0,5.0,0,1
10,Raheem Sterling,7.0,eng ENG,LW,24-245,90,3.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,45.0,0.0,1.0,1.0,1.5,1.5,0.0,1.0,1.0,26.0,34.0,76.5,5.0,39.0,7.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,3.0,4.0,0,1
11,Riyad Mahrez,26.0,dz ALG,RW,28-170,90,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,58.0,4.0,2.0,3.0,0.5,0.5,1.1,7.0,3.0,30.0,36.0,83.3,7.0,44.0,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,4.0,5.0,0,1
12,Rodri,16.0,es ESP,"CM,DM",23-049,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,72.0,90.3,5.0,56.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,1.0,10.0,0,1
13,Sergio Agüero,10.0,ar ARG,FW,31-069,22,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,4.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0,1
14,İlkay Gündoğan,8.0,de GER,"DM,RM",28-290,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,77.8,1.0,6.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,13.0,61.0,0,1
0,12 Players,,,,,990,1.0,0.0,0.0,0.0,13.0,3.0,2.0,0.0,633.0,18.0,13.0,6.0,1.8,1.8,1.1,22.0,1.0,411.0,532.0,77.3,38.0,433.0,14.0,17.0,8.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,2
1,Aaron Ramsdale,12.0,eng ENG,GK,21-088,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,26.0,61.5,0.0,11.0,0.0,0.0,0.0,3.0,1.0,2.0,66.7,1.3,1.0,10.0,10.0,17.0,5.0,29.4,35.6,9.0,55.6,48.7,13.0,0.0,0.0,0.0,,0.0,0.0,1,2
