id, short_name
1,ARS
2,BOU
3,BHA
4,BUR
5,CHE
6,CRY
7,EVE
8,HUD
9,LEI
10,LIV
11,MCI
12,MUN
13,NEW
14,SOU
15,STO
16,SWA
17,TOT
18,WAT
19,WBA
20,WHU
