index,Player,#_x,Nation,Pos_x,Age,Min,Gls,Ast,PK,PKatt,Sh_x,SoT,CrdY_x,CrdR_x,Touches,Tkl_x,Int_x,Blocks_x,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,#_y,Pos_y,Tkl_y,TklW_x,Def 3rd,Mid 3rd,Att 3rd,Tkl_y,Att_y,Tkl%,Lost_x,Blocks_y,Sh_y,Pass,Int_y,Tkl+Int,Clr,Err,#,Pos,CrdY_y,CrdR_y,2CrdY,Fls,Fld,Off,Crs,Int,TklW_y,PKwon,PKcon,OG,Recov,Won,Lost_y,Won%,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
3,Alexandre Lacazette,9.0,fr FRA,FW,27-159,90,1,0,0,0,4,2,1,0,32,1,1,0,0.7,0.7,0.1,1,0,17,21,81.0,1,27,0,1,0,9.0,FW,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,0,0,9.0,FW,1,0,0,2,1,0,0,1,1,0,0,0,1,2,3,40.0,,,,,,,,,,,,,,,,,,,,,1,105
4,Bernd Leno,19.0,de GER,GK,26-244,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,29,33,87.9,0,23,0,0,0,19.0,GK,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,19.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,4.0,1.0,3.0,75.0,0.6,1.0,5.0,20.0,25.0,6.0,12.0,24.5,8.0,25.0,35.1,14.0,0.0,0.0,0.0,7.3,1,105
5,Danny Welbeck,23.0,eng ENG,LW,27-342,10,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,5,1,1,0,23.0,LW,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,23.0,LW,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0,,,,,,,,,,,,,,,,,,,,,1,105
6,Granit Xhaka,34.0,ch SUI,DM,26-037,90,0,0,0,0,1,1,0,0,117,5,2,0,0.0,0.0,0.1,4,0,88,106,83.0,18,83,1,0,0,34.0,DM,5,2,2,2,1,1,3,33.3,2,0,0,0,2,7,2,0,34.0,DM,0,0,0,1,2,0,3,2,2,0,0,0,16,1,0,100.0,,,,,,,,,,,,,,,,,,,,,1,105
7,Henrikh Mkhitaryan,7.0,am ARM,RW,29-286,67,0,0,0,0,1,0,0,0,50,1,0,1,0.2,0.2,0.1,3,0,27,40,67.5,2,33,3,2,0,7.0,RW,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,2,0,7.0,RW,0,0,0,1,0,1,4,0,1,0,0,0,6,1,0,100.0,,,,,,,,,,,,,,,,,,,,,1,105
8,Héctor Bellerín,2.0,es ESP,RB,23-229,90,0,0,0,0,2,0,0,0,75,1,1,2,0.1,0.1,0.0,1,0,53,64,82.8,5,50,4,2,1,2.0,RB,1,1,0,1,0,0,1,0.0,1,2,1,1,1,2,0,0,2.0,RB,0,0,0,0,0,0,1,1,1,0,0,0,3,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1,105
9,Lucas Torreira,11.0,uy URU,DM,22-265,90,0,0,0,0,1,1,0,0,72,2,1,1,0.0,0.0,0.0,2,1,57,64,89.1,5,55,0,1,1,11.0,DM,2,2,0,2,0,2,2,100.0,0,1,1,0,1,3,2,0,11.0,DM,0,0,0,1,1,0,0,1,2,0,0,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,1,105
10,Mesut Özil,10.0,de GER,"AM,RW",30-019,90,0,0,0,0,0,0,0,0,53,0,0,1,0.0,0.0,0.3,5,0,40,49,81.6,7,47,3,2,1,10.0,"AM,RW",0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,10.0,"AM,RW",0,0,0,0,2,2,1,0,0,0,0,0,3,0,2,0.0,,,,,,,,,,,,,,,,,,,,,1,105
11,Pierre-Emerick Aubameyang,14.0,ga GAB,LW,29-138,72,0,0,0,0,3,0,0,0,21,0,0,1,0.2,0.2,0.2,2,0,6,12,50.0,1,16,2,0,0,14.0,LW,0,0,0,0,0,0,4,0.0,4,1,0,1,0,0,1,0,14.0,LW,0,0,0,1,1,2,2,0,0,0,0,0,2,1,3,25.0,,,,,,,,,,,,,,,,,,,,,1,105
12,Rob Holding,16.0,eng ENG,CB,23-044,90,0,0,0,0,0,0,0,0,96,4,2,0,0.0,0.0,0.0,0,0,74,81,91.4,2,75,2,0,0,16.0,CB,4,2,3,1,0,1,3,33.3,2,0,0,0,2,6,7,0,16.0,CB,0,0,0,0,0,0,0,2,2,0,0,0,6,3,1,75.0,,,,,,,,,,,,,,,,,,,,,1,105
13,Sead Kolašinac,31.0,ba BIH,LB,25-136,80,0,0,0,0,0,0,0,0,61,2,0,0,0.0,0.0,0.5,4,0,42,52,80.8,2,35,5,0,0,31.0,LB,2,0,2,0,0,1,3,33.3,2,0,0,0,0,2,3,0,31.0,LB,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1,105
0,13 Players,,,,,990,1,0,0,0,13,4,1,0,521,13,8,14,1.3,1.3,1.2,25,2,303,405,74.8,24,314,16,20,13,,,13,10,5,6,2,6,11,54.5,5,14,3,11,8,21,29,1,,,1,0,0,7,6,1,16,8,10,0,0,0,47,12,15,44.4,,,,,,,,,,,,,,,,,,,,,0,105
1,Alisson,13.0,br BRA,GK,26-032,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,25,31,80.6,0,16,0,0,0,13.0,GK,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,13.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,4.0,1.0,3.0,75.0,1.6,4.0,8.0,50.0,23.0,4.0,26.1,35.4,8.0,25.0,36.5,15.0,0.0,0.0,2.0,15.8,0,105
2,Andrew Robertson,26.0,sct SCO,LB,24-237,90,0,0,0,0,1,1,0,0,80,1,0,1,0.0,0.0,0.0,1,1,51,73,69.9,4,50,4,1,1,26.0,LB,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,2,0,26.0,LB,0,0,0,0,0,0,4,0,1,0,0,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,0,105
3,Fabinho,3.0,br BRA,CM,25-011,90,0,0,0,0,0,0,1,0,43,3,2,4,0.0,0.0,0.0,2,0,21,26,80.8,2,17,1,0,0,3.0,CM,3,0,1,2,0,2,3,66.7,1,4,0,4,2,5,0,0,3.0,CM,1,0,0,3,0,0,0,2,0,0,0,0,1,1,2,33.3,,,,,,,,,,,,,,,,,,,,,0,105
4,Georginio Wijnaldum,5.0,nl NED,"CM,RM",27-357,90,0,0,0,0,1,0,0,0,31,0,2,0,0.1,0.1,0.0,1,0,25,28,89.3,1,22,0,1,1,5.0,"CM,RM",0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,5.0,"CM,RM",0,0,0,1,1,0,0,2,0,0,0,0,3,2,3,40.0,,,,,,,,,,,,,,,,,,,,,0,105
5,James Milner,7.0,eng ENG,"RM,LM",32-303,90,1,0,0,0,1,1,0,0,57,3,2,3,0.1,0.1,0.1,5,0,30,42,71.4,3,30,1,0,0,7.0,"RM,LM",3,3,0,3,0,0,1,0.0,1,3,0,3,2,5,3,0,7.0,"RM,LM",0,0,0,0,2,0,3,2,3,0,0,0,5,4,0,100.0,,,,,,,,,,,,,,,,,,,,,0,105
6,Joe Gomez,12.0,eng ENG,CB,21-164,90,0,0,0,0,0,0,0,0,51,0,1,1,0.0,0.0,0.0,1,0,34,41,82.9,2,34,0,0,0,12.0,CB,0,0,0,0,0,0,0,,0,1,1,0,1,1,7,0,12.0,CB,0,0,0,1,1,0,0,1,0,0,0,0,2,2,0,100.0,,,,,,,,,,,,,,,,,,,,,0,105
7,Joël Matip,32.0,cm CMR,DM,27-087,1,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,32.0,DM,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,32.0,DM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,105
8,Mohamed Salah,11.0,eg EGY,"FW,RW",26-141,89,0,0,0,0,3,0,0,0,40,0,0,0,0.1,0.1,0.6,5,0,21,29,72.4,2,29,6,5,4,11.0,"FW,RW",0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,11.0,"FW,RW",0,0,0,1,0,0,5,0,0,0,0,0,7,0,1,0.0,,,,,,,,,,,,,,,,,,,,,0,105
9,Roberto Firmino,9.0,br BRA,FW,27-032,79,0,0,0,0,3,0,0,0,29,0,0,1,0.4,0.4,0.0,1,0,15,20,75.0,1,22,0,3,0,9.0,FW,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,9.0,FW,0,0,0,1,0,0,1,0,0,0,0,0,3,0,3,0.0,,,,,,,,,,,,,,,,,,,,,0,105
10,Sadio Mané,10.0,sn SEN,"LM,LW",26-207,90,0,0,0,0,1,0,0,0,34,1,0,1,0.1,0.1,0.0,2,0,15,24,62.5,2,25,2,5,3,10.0,"LM,LW",1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,1,0,10.0,"LM,LW",0,0,0,0,1,1,2,0,1,0,0,0,5,1,3,25.0,,,,,,,,,,,,,,,,,,,,,0,105
11,Trent Alexander-Arnold,66.0,eng ENG,RB,20-027,90,0,0,0,0,0,0,0,0,68,2,0,1,0.0,0.0,0.4,5,0,31,52,59.6,6,36,1,4,3,66.0,RB,2,2,0,1,1,2,4,50.0,2,1,0,1,0,2,7,0,66.0,RB,0,0,0,0,0,0,1,0,2,0,0,0,8,1,0,100.0,,,,,,,,,,,,,,,,,,,,,0,105
12,Virgil van Dijk,4.0,nl NED,CB,27-118,90,0,0,0,0,3,2,0,0,50,1,1,2,0.6,0.6,0.0,1,1,34,36,94.4,1,31,0,1,1,4.0,CB,1,1,1,0,0,0,0,,0,2,2,0,1,2,7,0,4.0,CB,0,0,0,0,1,0,0,1,1,0,0,0,4,1,2,33.3,,,,,,,,,,,,,,,,,,,,,0,105
0,14 Players,,,,,990,2,0,2,2,14,5,1,0,615,22,9,7,2.7,1.1,0.9,29,4,408,519,78.6,51,345,22,25,15,,,22,12,7,11,4,10,21,47.6,11,7,1,6,9,31,8,0,,,1,0,0,11,8,5,25,9,12,2,0,0,66,11,7,61.1,,,,,,,,,,,,,,,,,,,,,1,106
1,Adama Traoré,37.0,es ESP,RW,22-282,7,0,0,0,0,0,0,0,0,7,0,1,1,0.0,0.0,0.0,0,0,1,2,50.0,0,6,1,2,1,37.0,RW,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,37.0,RW,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1,106
2,Conor Coady,16.0,eng ENG,CB,25-251,90,0,0,0,0,0,0,0,0,55,1,2,0,0.0,0.0,0.0,1,0,44,51,86.3,1,36,0,1,1,16.0,CB,1,0,1,0,0,1,1,100.0,0,0,0,0,2,3,0,0,16.0,CB,0,0,0,0,0,0,0,2,0,0,0,0,8,2,0,100.0,,,,,,,,,,,,,,,,,,,,,1,106
3,Hélder Costa,10.0,ao ANG,RW,24-295,83,0,0,0,0,3,1,0,0,42,0,0,0,0.6,0.6,0.1,2,0,26,31,83.9,4,31,4,7,3,10.0,RW,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,10.0,RW,0,0,0,2,0,1,1,0,0,0,0,0,2,1,0,100.0,,,,,,,,,,,,,,,,,,,,,1,106
4,Ivan Cavaleiro,7.0,pt POR,LW,25-016,61,0,0,0,0,1,0,0,0,33,0,0,1,0.0,0.0,0.0,1,0,17,25,68.0,2,23,7,3,2,7.0,LW,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,7.0,LW,0,0,0,0,1,0,3,0,0,0,0,0,3,1,0,100.0,,,,,,,,,,,,,,,,,,,,,1,106
5,Jonny Castro,19.0,es ESP,LM,24-245,90,0,0,0,0,0,0,0,0,58,2,0,2,0.0,0.0,0.0,1,1,41,50,82.0,1,24,2,0,0,19.0,LM,2,2,1,1,0,1,2,50.0,1,2,0,2,0,2,3,0,19.0,LM,0,0,0,1,2,2,2,0,2,1,0,0,10,1,2,33.3,,,,,,,,,,,,,,,,,,,,,1,106
6,João Moutinho,28.0,pt POR,CM,32-056,61,0,0,0,0,1,0,0,0,47,4,1,0,0.0,0.0,0.1,2,0,29,40,72.5,4,23,0,0,0,28.0,CM,4,2,1,3,0,2,5,40.0,3,0,0,0,1,5,1,0,28.0,CM,0,0,0,2,1,0,5,1,2,0,0,0,7,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1,106
7,Léo Bonatini,33.0,br BRA,FW,24-220,29,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,3,2,12,14,85.7,4,13,0,1,0,33.0,FW,1,1,0,0,1,1,2,50.0,1,0,0,0,0,1,0,0,33.0,FW,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,1,106
8,Matt Doherty,2.0,ie IRL,RM,26-291,90,0,0,0,0,1,1,0,0,88,4,1,0,0.0,0.0,0.2,6,0,60,75,80.0,10,42,3,2,1,2.0,RM,4,2,1,2,1,1,2,50.0,1,0,0,0,1,5,0,0,2.0,RM,0,0,0,0,0,1,6,1,2,0,0,0,3,1,1,50.0,,,,,,,,,,,,,,,,,,,,,1,106
9,Morgan Gibbs-White,17.0,eng ENG,CM,18-280,29,0,0,0,0,0,0,0,0,27,1,0,0,0.0,0.0,0.5,1,0,21,26,80.8,3,17,1,4,3,17.0,CM,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,17.0,CM,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,1,106
10,Raúl Jiménez,9.0,mx MEX,"FW,LW",27-182,90,1,0,1,1,4,2,0,0,41,4,0,0,1.1,0.3,0.1,7,1,22,33,66.7,3,23,2,3,3,9.0,"FW,LW",4,4,0,2,2,0,0,,0,0,0,0,0,4,0,0,9.0,"FW,LW",0,0,0,2,2,1,2,0,4,1,0,0,5,3,0,100.0,,,,,,,,,,,,,,,,,,,,,1,106
11,Rui Patrício,11.0,pt POR,GK,30-261,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,17,27,63.0,0,10,0,0,0,11.0,GK,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,8.0,3.0,5.0,62.5,1.8,8.0,17.0,47.1,23.0,4.0,60.9,38.8,4.0,75.0,49.0,5.0,0.0,0.0,2.0,28.0,1,106
12,Ryan Bennett,5.0,eng ENG,CB,28-242,90,0,0,0,0,0,0,1,0,53,0,1,1,0.0,0.0,0.0,1,0,37,48,77.1,3,29,0,0,0,5.0,CB,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,2,0,5.0,CB,1,0,0,1,0,0,0,1,0,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,1,106
13,Rúben Neves,8.0,pt POR,CM,21-235,90,1,0,1,1,3,1,0,0,63,1,1,1,0.9,0.1,0.0,3,0,42,53,79.2,10,39,0,2,1,8.0,CM,1,0,0,1,0,1,2,50.0,1,1,0,1,1,2,0,0,8.0,CM,0,0,0,1,0,0,2,1,0,0,0,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,1,106
0,14 Players,,,,,990,3,2,0,0,10,8,2,0,650,21,7,11,1.4,1.4,0.6,19,5,443,541,81.9,33,414,21,21,11,,,21,12,14,5,2,10,25,40.0,15,11,5,6,7,28,22,1,,,2,0,0,8,9,3,7,7,12,0,2,0,53,7,11,38.9,,,,,,,,,,,,,,,,,,,,,0,106
1,Ben Davies,33.0,wls WAL,LB,25-193,90,0,0,0,0,0,0,0,0,87,9,0,0,0.0,0.0,0.0,1,0,53,70,75.7,5,48,2,2,0,33.0,LB,9,6,7,2,0,6,7,85.7,1,0,0,0,0,9,4,0,33.0,LB,0,0,0,1,0,0,2,0,6,0,0,0,6,1,2,33.3,,,,,,,,,,,,,,,,,,,,,0,106
2,Christian Eriksen,23.0,dk DEN,"AM,LM",26-262,32,0,0,0,0,0,0,0,0,17,1,1,1,0.0,0.0,0.0,0,0,12,13,92.3,0,9,0,0,0,23.0,"AM,LM",1,1,0,0,1,1,3,33.3,2,1,0,1,1,2,1,0,23.0,"AM,LM",0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,0,106
3,Davinson Sánchez,6.0,co COL,CB,22-144,12,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,3,0,0,0,6.0,CB,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6.0,CB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,0,106
4,Harry Kane,10.0,eng ENG,FW,25-098,90,1,0,0,0,8,6,0,0,34,0,0,2,1.0,1.0,0.0,3,1,12,18,66.7,4,23,3,1,1,10.0,FW,0,0,0,0,0,0,1,0.0,1,2,2,0,0,0,1,0,10.0,FW,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,66.7,,,,,,,,,,,,,,,,,,,,,0,106
5,Harry Winks,8.0,eng ENG,"DM,CM",22-274,90,0,0,0,0,0,0,1,0,66,0,0,1,0.0,0.0,0.0,0,0,56,62,90.3,2,51,1,3,2,8.0,"DM,CM",0,0,0,0,0,0,5,0.0,5,1,1,0,0,0,1,0,8.0,"DM,CM",1,0,0,1,2,0,0,0,0,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,0,106
6,Hugo Lloris,1.0,fr FRA,GK,31-312,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,1,0,22,37,59.5,0,18,0,0,0,1.0,GK,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,7.0,2.0,5.0,100.0,2.8,2.0,16.0,12.5,28.0,3.0,39.3,38.3,9.0,55.6,49.3,19.0,1.0,5.3,1.0,12.0,0,106
7,Juan Foyth,21.0,ar ARG,"CB,DM",20-295,90,0,0,0,0,0,0,1,0,68,3,1,1,0.0,0.0,0.0,0,0,55,59,93.2,4,51,0,1,1,21.0,"CB,DM",3,2,2,1,0,0,0,,0,1,1,0,1,4,3,0,21.0,"CB,DM",1,0,0,3,1,0,0,1,2,0,2,0,4,1,0,100.0,,,,,,,,,,,,,,,,,,,,,0,106
8,Kieran Trippier,2.0,eng ENG,RB,28-045,90,0,1,0,0,0,0,0,0,80,5,1,3,0.0,0.0,0.3,1,1,55,68,80.9,4,42,0,1,0,2.0,RB,5,2,4,0,1,2,2,100.0,0,3,1,2,1,6,3,0,2.0,RB,0,0,0,1,1,0,3,1,2,0,0,0,10,0,2,0.0,,,,,,,,,,,,,,,,,,,,,0,106
9,Lucas Moura,27.0,br BRA,"RW,LW,AM",26-082,78,1,0,0,0,1,1,0,0,48,1,1,0,0.3,0.3,0.2,4,0,30,38,78.9,5,30,6,4,2,27.0,"RW,LW,AM",1,0,0,1,0,0,2,0.0,2,0,0,0,1,2,2,0,27.0,"RW,LW,AM",0,0,0,1,1,1,1,1,0,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,0,106
10,Mousa Dembélé,19.0,be BEL,LM,31-110,6,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,3,0,0,0,19.0,LM,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,19.0,LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,106
11,Moussa Sissoko,17.0,fr FRA,"DM,CM,RM",29-079,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,35,43,81.4,1,35,2,3,1,17.0,"DM,CM,RM",0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17.0,"DM,CM,RM",0,0,0,0,1,0,1,0,0,0,0,0,7,1,1,50.0,,,,,,,,,,,,,,,,,,,,,0,106
12,Son Heung-min,7.0,kr KOR,LW,26-118,52,0,1,0,0,0,0,0,0,38,0,1,2,0.0,0.0,0.1,4,2,26,31,83.9,1,25,1,2,2,7.0,LW,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,0,1,7.0,LW,0,0,0,0,2,1,0,1,0,0,0,0,4,1,0,100.0,,,,,,,,,,,,,,,,,,,,,0,106
13,Toby Alderweireld,4.0,be BEL,CB,29-246,90,0,0,0,0,0,0,0,0,67,0,1,0,0.0,0.0,0.0,1,0,52,58,89.7,2,46,0,0,0,4.0,CB,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,7,0,4.0,CB,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0.0,,,,,,,,,,,,,,,,,,,,,0,106
0,14 Players,,,,,990,5,5,0,0,18,8,1,0,874,12,11,11,2.2,2.2,2.1,34,10,683,756,90.3,70,626,41,22,15,,,12,7,8,1,3,7,13,53.8,6,11,2,9,11,23,18,2,,,1,0,0,14,9,1,12,11,7,0,1,0,55,16,11,59.3,,,,,,,,,,,,,,,,,,,,,1,107
1,Aymeric Laporte,14.0,es ESP,CB,24-161,90,0,0,0,0,0,0,0,0,103,0,0,0,0.0,0.0,0.0,0,0,92,101,91.1,9,85,2,0,0,14.0,CB,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,14.0,CB,0,0,0,0,1,0,0,0,0,0,0,0,7,1,3,25.0,,,,,,,,,,,,,,,,,,,,,1,107
2,Benjamin Mendy,22.0,fr FRA,LB,24-110,90,0,0,0,0,0,0,0,0,98,3,2,3,0.0,0.0,0.0,1,0,76,85,89.4,10,68,6,3,1,22.0,LB,3,2,3,0,0,1,3,33.3,2,3,0,3,2,5,2,0,22.0,LB,0,0,0,2,0,0,4,2,2,0,0,0,12,1,3,25.0,,,,,,,,,,,,,,,,,,,,,1,107
3,Bernardo Silva,20.0,pt POR,RM,24-086,90,0,0,0,0,2,0,0,0,75,1,0,2,0.1,0.1,0.2,5,2,55,59,93.2,7,58,7,5,4,20.0,RM,1,0,1,0,0,1,2,50.0,1,2,1,1,0,1,0,0,20.0,RM,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,1,107
4,David Silva,21.0,es ESP,LM,32-300,71,1,0,0,0,2,2,0,0,76,1,0,0,0.1,0.1,0.1,5,1,67,73,91.8,10,67,4,1,1,21.0,LM,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,21.0,LM,0,0,0,1,3,0,5,0,0,0,0,0,3,1,0,100.0,,,,,,,,,,,,,,,,,,,,,1,107
5,Ederson,31.0,br BRA,GK,25-079,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,28,31,90.3,0,20,0,0,0,31.0,GK,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,31.0,GK,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,,6.0,1.0,5.0,100.0,2.0,1.0,4.0,25.0,25.0,5.0,12.0,22.8,6.0,16.7,33.8,18.0,2.0,11.1,2.0,15.7,1,107
6,Fabian Delph,18.0,eng ENG,CM,28-348,12,0,0,0,0,0,0,0,0,13,1,1,0,0.0,0.0,0.0,1,0,11,11,100.0,0,9,0,0,0,18.0,CM,1,0,0,0,1,1,1,100.0,0,0,0,0,1,2,0,0,18.0,CM,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,1,107
7,Fernandinho,25.0,br BRA,CM,33-184,78,0,0,0,0,0,0,0,0,77,3,2,2,0.0,0.0,0.0,1,1,62,65,95.4,9,53,1,0,0,25.0,CM,3,2,3,0,0,3,4,75.0,1,2,0,2,2,5,3,0,25.0,CM,0,0,0,1,0,0,0,2,2,0,0,0,6,4,1,80.0,,,,,,,,,,,,,,,,,,,,,1,107
8,John Stones,5.0,eng ENG,CB,24-160,67,0,0,0,0,1,0,0,0,77,0,1,1,0.0,0.0,0.0,0,0,65,68,95.6,2,52,1,0,0,5.0,CB,0,0,0,0,0,0,0,,0,1,0,1,1,1,6,0,5.0,CB,0,0,0,0,1,0,0,1,0,0,0,0,5,3,2,60.0,,,,,,,,,,,,,,,,,,,,,1,107
9,Kyle Walker,2.0,eng ENG,RB,28-160,90,0,0,0,0,1,0,0,0,95,0,2,0,0.0,0.0,0.1,4,1,77,85,90.6,8,53,3,0,0,2.0,RB,0,0,0,0,0,0,0,,0,0,0,0,2,2,5,0,2.0,RB,0,0,0,1,1,0,1,2,0,0,0,0,3,3,0,100.0,,,,,,,,,,,,,,,,,,,,,1,107
10,Leroy Sané,19.0,de GER,LW,22-297,90,1,1,0,0,3,1,0,0,59,0,0,0,0.3,0.3,0.1,3,0,42,49,85.7,3,45,2,3,3,19.0,LW,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,19.0,LW,0,0,0,0,0,1,1,0,0,0,0,0,4,1,1,50.0,,,,,,,,,,,,,,,,,,,,,1,107
11,Phil Foden,47.0,eng ENG,LM,18-160,19,0,0,0,0,1,0,0,0,12,0,0,0,0.1,0.1,0.0,3,1,9,10,90.0,3,11,4,0,0,47.0,LM,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,47.0,LM,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,1,107
12,Raheem Sterling,7.0,eng ENG,RW,23-331,90,2,2,0,0,4,3,0,0,65,1,1,0,0.6,0.6,1.0,5,2,37,49,75.5,1,44,7,5,2,7.0,RW,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0,7.0,RW,0,0,0,4,1,0,1,1,1,0,0,0,2,1,0,100.0,,,,,,,,,,,,,,,,,,,,,1,107
13,Sergio Agüero,10.0,ar ARG,FW,30-155,90,1,2,0,0,4,2,1,0,57,2,2,2,1.0,1.0,0.6,6,2,34,41,82.9,6,39,4,5,4,10.0,FW,2,2,0,0,2,1,1,100.0,0,2,0,2,2,4,0,0,10.0,FW,1,0,0,3,0,0,0,2,2,0,0,0,3,1,1,50.0,,,,,,,,,,,,,,,,,,,,,1,107
0,14 Players,,,,,990,1,0,1,1,12,5,1,0,495,19,14,14,2.0,1.2,0.7,22,2,297,382,77.7,23,210,12,13,6,,,19,6,15,3,1,7,22,31.8,15,14,5,9,14,33,20,1,,,1,0,0,9,12,1,20,14,6,1,0,1,40,11,16,40.7,,,,,,,,,,,,,,,,,,,,,0,107
1,Alex McCarthy,1.0,eng ENG,GK,28-336,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,15,25,60.0,0,15,0,1,1,1.0,GK,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8.0,6.0,3.0,25.0,2.5,10.0,18.0,55.6,17.0,2.0,58.8,44.8,8.0,100.0,66.3,9.0,0.0,0.0,2.0,24.5,0,107
