index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Clr,Recov,xA,xGC,home,game_id
2,Andre Gray,18.0,jm JAM,FW,26-047,28,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,1,0,5,5,100.0,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,0,2,0.0,5.4,1,1
3,Daryl Janmaat,2.0,nl NED,RB,28-021,17,0,0,0,0,0,0,0,0,13,1,1,0,0.0,0.0,0.0,0,0,9,12,75.0,0,4,1,0,0,,,,,,,,,,,,,,,,,,,,,0,3,0.0,5.4,1,1
4,Heurelho Gomes,1.0,br BRA,GK,36-178,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,25,45,55.6,0,25,0,0,0,5.0,3.0,2.0,60.0,3.5,11.0,30.0,36.7,33.0,8.0,60.6,44.3,12.0,83.3,61.3,11.0,0.0,0.0,3.0,17.5,1,3,0.1,5.4,1,1
5,José Holebas,25.0,gr GRE,LB,33-046,90,0,1,0,0,1,0,0,0,64,5,3,2,0.0,0.0,0.4,1,1,24,40,60.0,2,21,2,4,2,,,,,,,,,,,,,,,,,,,,,0,6,0.0,5.4,1,1
6,Kiko Femenía,21.0,es ESP,RB,26-191,73,0,0,0,0,0,0,0,0,53,1,2,1,0.0,0.0,0.0,1,0,36,47,76.6,3,24,3,2,1,,,,,,,,,,,,,,,,,,,,,2,11,0.0,5.4,1,1
7,Miguel Britos,3.0,uy URU,CB,32-026,90,1,0,0,0,2,2,0,0,51,1,0,3,0.7,0.7,0.0,1,0,29,40,72.5,2,24,1,0,0,,,,,,,,,,,,,,,,,,,,,0,5,0.0,5.4,1,1
8,Nathaniel Chalobah,14.0,eng ENG,LM,22-243,90,0,0,0,0,1,0,0,0,30,2,1,0,0.0,0.0,0.0,0,0,19,26,73.1,4,13,0,0,0,,,,,,,,,,,,,,,,,,,,,8,4,0.2,5.4,1,1
9,Nordin Amrabat,7.0,ma MAR,RW,30-134,90,0,0,0,0,0,0,0,0,46,3,0,0,0.0,0.0,0.1,1,0,18,37,48.6,0,26,0,2,1,,,,,,,,,,,,,,,,,,,,,5,1,0.0,5.4,1,1
10,Richarlison,11.0,br BRA,LW,20-094,42,0,0,0,0,2,0,0,0,13,1,1,0,0.2,0.2,0.0,1,1,4,7,57.1,0,9,0,0,0,,,,,,,,,,,,,,,,,,,,,10,6,0.0,5.4,1,1
11,Roberto Pereyra,37.0,ar ARG,LW,26-217,48,0,0,0,0,1,0,0,0,8,0,0,1,0.2,0.2,0.0,2,1,3,3,100.0,1,7,1,1,1,,,,,,,,,,,,,,,,,,,,,0,2,0.0,5.4,1,1
12,Stefano Okaka,33.0,it ITA,FW,28-003,62,1,0,0,0,1,1,0,0,23,0,0,1,0.4,0.4,0.2,1,0,12,16,75.0,2,15,2,3,3,,,,,,,,,,,,,,,,,,,,,1,1,0.0,5.4,1,1
13,Tom Cleverley,8.0,eng ENG,RM,28-000,90,0,0,0,0,0,0,0,0,53,0,1,1,0.0,0.0,0.0,0,0,32,46,69.6,4,30,0,1,0,,,,,,,,,,,,,,,,,,,,,1,2,0.0,5.4,1,1
14,Younès Kaboul,4.0,fr FRA,CB,31-220,90,0,0,0,0,0,0,0,0,71,3,1,3,0.0,0.0,0.0,1,0,31,51,60.8,1,34,2,1,0,,,,,,,,,,,,,,,,,,,,,28,47,0.5,5.4,1,1
0,14 Players,,,,,990,3,2,1,1,13,4,3,0,639,20,11,12,2.7,1.9,1.8,25,5,386,527,73.2,40,302,22,11,6,,,,,,,,,,,,,,,,,,,,,2,3,0.1,4.5,0,1
1,Alberto Moreno,18.0,es ESP,LB,25-038,90,0,0,0,0,1,1,0,0,73,5,1,2,0.1,0.1,0.0,4,1,43,58,74.1,0,24,3,2,2,,,,,,,,,,,,,,,,,,,,,0,0,0.0,4.5,0,1
2,Dejan Lovren,6.0,hr CRO,CB,28-038,90,0,0,0,0,1,1,0,0,76,1,2,1,0.1,0.1,0.0,1,0,56,67,83.6,7,34,1,0,0,,,,,,,,,,,,,,,,,,,,,0,3,0.1,4.5,0,1
3,Divock Origi,27.0,be BEL,FW,22-116,10,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,0,5,0.0,4.5,0,1
4,Emre Can,23.0,de GER,"RM,LM",23-212,90,0,1,0,0,0,0,0,0,52,3,1,1,0.0,0.0,0.2,6,1,33,41,80.5,4,26,3,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,4.5,0,1
5,Georginio Wijnaldum,5.0,nl NED,"LM,LW",26-274,90,0,0,0,0,2,0,0,0,52,1,1,0,0.1,0.1,0.1,1,0,31,43,72.1,6,27,1,0,0,,,,,,,,,,,,,,,,,,,,,1,4,0.1,4.5,0,1
6,James Milner,7.0,eng ENG,RM,31-220,5,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,1,0,1,4,25.0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,0,9,0.1,4.5,0,1
7,Joe Gomez,12.0,eng ENG,RB,20-081,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,2,3,66.7,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,,3,4,0.0,4.5,0,1
8,Jordan Henderson,14.0,eng ENG,CM,27-056,90,0,0,0,0,0,0,0,0,73,2,1,1,0.0,0.0,0.1,2,0,46,68,67.6,9,33,0,0,0,,,,,,,,,,,,,,,,,,,,,6,2,0.0,4.5,0,1
9,Joël Matip,32.0,cm CMR,CB,26-004,90,0,0,0,0,1,0,0,0,70,1,2,0,0.2,0.2,0.0,0,0,47,57,82.5,3,32,2,0,0,,,,,,,,,,,,,,,,,,,,,4,3,0.0,4.5,0,1
10,Mohamed Salah,11.0,eg EGY,RW,25-058,85,1,0,0,0,5,1,0,0,29,0,0,0,1.1,1.1,0.0,2,1,14,20,70.0,2,21,3,1,1,,,,,,,,,,,,,,,,,,,,,5,7,0.0,4.5,0,1
11,Roberto Firmino,9.0,br BRA,FW,25-314,80,1,1,1,1,1,0,0,0,40,0,0,2,0.8,0.0,0.9,3,2,21,32,65.6,4,22,2,3,3,,,,,,,,,,,,,,,,,,,,,4,3,0.2,4.5,0,1
12,Sadio Mané,19.0,sn SEN,"LW,RW",25-124,90,1,0,0,0,2,1,1,0,44,1,0,3,0.3,0.3,0.1,2,0,20,31,64.5,3,29,5,3,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,4.5,0,1
13,Simon Mignolet,22.0,be BEL,GK,29-159,90,0,0,0,0,0,0,1,0,44,0,0,0,0.0,0.0,0.0,0,0,28,42,66.7,0,22,0,0,0,4.0,3.0,1.0,25.0,2.7,2.0,15.0,13.3,35.0,8.0,31.4,31.2,7.0,57.1,42.4,13.0,3.0,23.1,0.0,12.2,0,1,0.0,4.5,0,1
14,Trent Alexander-Arnold,66.0,eng ENG,RB,18-309,89,0,0,0,0,0,0,1,0,74,5,3,2,0.0,0.0,0.3,2,0,43,59,72.9,1,26,1,1,0,,,,,,,,,,,,,,,,,,,,,25,44,0.6,4.5,0,1
0,14 Players,,,,,990,1,1,0,0,9,4,1,0,670,17,19,6,0.6,0.6,0.5,13,2,425,545,78.0,32,313,11,7,1,,,,,,,,,,,,,,,,,,,,,0,2,0.0,0.7000000000000001,1,2
1,Ashley Williams,5.0,wls WAL,CB,32-354,45,0,0,0,0,0,0,0,0,46,0,3,1,0.0,0.0,0.0,0,0,36,37,97.3,0,29,0,0,0,,,,,,,,,,,,,,,,,,,,,2,1,0.0,0.7000000000000001,1,2
2,Cuco Martina,15.0,cw CUW,"RB,CB",27-321,45,0,0,0,0,0,0,1,0,39,1,1,0,0.0,0.0,0.1,1,0,21,30,70.0,2,16,0,0,0,,,,,,,,,,,,,,,,,,,,,1,3,0.0,0.7000000000000001,1,2
3,Davy Klaassen,20.0,nl NED,"AM,CM",24-172,59,0,0,0,0,1,1,0,0,27,1,0,0,0.0,0.0,0.0,1,0,18,21,85.7,1,7,1,0,0,,,,,,,,,,,,,,,,,,,,,0,2,0.0,0.7000000000000001,1,2
4,Dominic Calvert-Lewin,29.0,eng ENG,"WB,FW,LW",20-149,90,0,1,0,0,3,1,0,0,34,0,0,1,0.2,0.2,0.3,2,1,19,25,76.0,2,19,2,0,0,,,,,,,,,,,,,,,,,,,,,3,5,0.5,0.7000000000000001,1,2
5,Idrissa Gana Gueye,17.0,sn SEN,"CM,RM",27-320,90,0,0,0,0,2,1,0,0,86,5,3,2,0.1,0.1,0.0,2,0,59,70,84.3,8,42,1,1,1,,,,,,,,,,,,,,,,,,,,,3,4,0.0,0.7000000000000001,1,2
6,Jordan Pickford,1.0,eng ENG,GK,23-158,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,17,33,51.5,0,15,0,0,0,1.0,0.0,1.0,100.0,0.3,7.0,23.0,30.4,23.0,4.0,65.2,46.5,10.0,80.0,61.4,21.0,1.0,4.8,0.0,7.5,1,8,0.0,0.7000000000000001,1,2
7,Kevin Mirallas,11.0,be BEL,"LW,FW",29-311,14,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,4,8,50.0,0,3,1,0,0,,,,,,,,,,,,,,,,,,,,,3,2,0.0,0.7000000000000001,1,2
8,Leighton Baines,3.0,eng ENG,"WB,LB",32-244,90,0,0,0,0,0,0,0,0,40,0,1,0,0.0,0.0,0.0,2,0,24,35,68.6,2,22,0,1,0,,,,,,,,,,,,,,,,,,,,,2,4,0.1,0.7000000000000001,1,2
9,Michael Keane,4.0,eng ENG,CB,24-213,90,0,0,0,0,0,0,0,0,86,1,2,2,0.0,0.0,0.0,0,0,57,69,82.6,4,37,1,0,0,,,,,,,,,,,,,,,,,,,,,10,3,0.0,0.7000000000000001,1,2
10,Morgan Schneiderlin,2.0,fr FRA,"CM,LM",27-277,90,0,0,0,0,0,0,0,0,69,5,6,0,0.0,0.0,0.0,0,0,48,55,87.3,1,31,1,0,0,,,,,,,,,,,,,,,,,,,,,4,1,0.0,0.7000000000000001,1,2
11,Phil Jagielka,6.0,eng ENG,CB,34-360,90,0,0,0,0,0,0,0,0,81,0,3,0,0.0,0.0,0.0,0,0,50,67,74.6,2,37,1,0,0,,,,,,,,,,,,,,,,,,,,,4,2,0.1,0.7000000000000001,1,2
12,Sandro Ramírez,9.0,es ESP,"FW,LW",22-034,76,0,0,0,0,2,0,0,0,29,1,0,0,0.1,0.1,0.0,2,1,13,22,59.1,2,16,1,3,0,,,,,,,,,,,,,,,,,,,,,9,3,0.0,0.7000000000000001,1,2
13,Tom Davies,26.0,eng ENG,CM,19-043,31,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,0,0,11,15,73.3,1,5,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0.0,0.7000000000000001,1,2
14,Wayne Rooney,10.0,eng ENG,"AM,RW",31-292,90,1,0,0,0,1,1,0,0,70,1,0,0,0.2,0.2,0.1,3,0,48,58,82.8,7,34,2,2,0,,,,,,,,,,,,,,,,,,,,,43,40,0.8,0.7000000000000001,1,2
0,13 Players,,,,,990,0,0,0,0,9,1,1,0,473,18,24,10,0.4,0.4,0.3,14,0,233,356,65.4,34,190,12,13,10,,,,,,,,,,,,,,,,,,,,,1,3,0.0,1.2000000000000002,0,2
1,Bojan Krkić,27.0,es ESP,AM,26-349,71,0,0,0,0,1,0,0,0,32,0,0,1,0.0,0.0,0.0,2,0,22,27,81.5,2,21,1,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0.0,1.2000000000000002,0,2
2,Darren Fletcher,24.0,sct SCO,CM,33-192,90,0,0,0,0,1,0,0,0,58,2,6,0,0.0,0.0,0.0,1,0,30,47,63.8,6,25,1,2,2,,,,,,,,,,,,,,,,,,,,,0,5,0.0,1.2000000000000002,0,2
3,Eric Maxim Choupo-Moting,10.0,cm CMR,AM,28-142,19,0,0,0,0,0,0,0,0,17,2,0,0,0.0,0.0,0.0,1,0,6,11,54.5,0,11,3,3,1,,,,,,,,,,,,,,,,,,,,,0,2,0.0,1.2000000000000002,0,2
4,Erik Pieters,3.0,nl NED,WB,29-005,90,0,0,0,0,0,0,0,0,49,4,4,1,0.0,0.0,0.0,2,0,24,36,66.7,4,15,1,0,0,,,,,,,,,,,,,,,,,,,,,0,2,0.3,1.2000000000000002,0,2
5,Geoff Cameron,20.0,us USA,CB,32-032,90,0,0,0,0,0,0,0,0,56,2,4,1,0.0,0.0,0.0,1,0,25,45,55.6,3,22,1,1,1,,,,,,,,,,,,,,,,,,,,,0,4,0.0,1.2000000000000002,0,2
6,Jack Butland,1.0,eng ENG,GK,24-155,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,19,30,63.3,0,10,0,0,0,4.0,1.0,3.0,75.0,0.6,10.0,18.0,55.6,21.0,4.0,57.1,39.5,8.0,75.0,55.1,13.0,0.0,0.0,1.0,14.5,2,7,0.1,1.2000000000000002,0,2
7,Joe Allen,4.0,wls WAL,CM,27-151,90,0,0,0,0,2,0,1,0,44,1,2,0,0.1,0.1,0.0,3,0,26,34,76.5,6,19,0,2,2,,,,,,,,,,,,,,,,,,,,,3,3,0.0,1.2000000000000002,0,2
8,Kurt Zouma,6.0,fr FRA,CB,22-289,90,0,0,0,0,0,0,0,0,50,0,0,2,0.0,0.0,0.0,0,0,27,39,69.2,3,21,0,0,0,,,,,,,,,,,,,,,,,,,,,2,2,0.0,1.2000000000000002,0,2
9,Mame Biram Diouf,18.0,sn SEN,WB,29-239,90,0,0,0,0,2,0,0,0,34,2,2,4,0.1,0.1,0.1,2,0,12,20,60.0,2,9,1,1,1,,,,,,,,,,,,,,,,,,,,,3,4,0.0,1.2000000000000002,0,2
10,Peter Crouch,25.0,eng ENG,FW,36-194,19,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0.1,1,0,6,9,66.7,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,6,0,0.0,1.2000000000000002,0,2
11,Ryan Shawcross,17.0,eng ENG,CB,29-312,90,0,0,0,0,0,0,0,0,26,3,4,1,0.0,0.0,0.0,0,0,8,10,80.0,1,6,0,0,0,,,,,,,,,,,,,,,,,,,,,8,4,0.0,1.2000000000000002,0,2
12,Saido Berahino,9.0,bi BDI,FW,24-008,71,0,0,0,0,1,0,0,0,17,0,1,0,0.0,0.0,0.0,1,0,8,13,61.5,1,9,2,0,0,,,,,,,,,,,,,,,,,,,,,0,2,0.0,1.2000000000000002,0,2
13,Xherdan Shaqiri,22.0,ch SUI,AM,25-306,90,0,0,0,0,1,1,0,0,48,2,1,0,0.0,0.0,0.0,0,0,20,35,57.1,4,21,2,3,2,,,,,,,,,,,,,,,,,,,,,26,38,0.6,1.2000000000000002,0,2
0,14 Players,,,,,903,2,2,0,0,19,6,5,2,667,10,9,6,1.5,1.5,1.3,37,4,468,568,82.4,48,394,25,8,5,,,,,,,,,,,,,,,,,,,,,0,0,0.0,1.2999999999999998,1,3
1,Andreas Christensen,27.0,dk DEN,CB,21-124,72,0,0,0,0,0,0,0,0,53,1,1,0,0.0,0.0,0.0,1,0,42,47,89.4,4,34,2,1,1,,,,,,,,,,,,,,,,,,,,,0,2,0.2,1.2999999999999998,1,3
2,Antonio Rüdiger,2.0,de GER,CB,24-162,90,0,0,0,0,2,0,1,0,88,0,2,3,0.0,0.0,0.0,2,0,67,75,89.3,10,54,3,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,1.2999999999999998,1,3
3,Cesc Fàbregas,4.0,es ESP,CM,30-100,80,0,0,0,0,0,0,2,1,97,0,0,1,0.0,0.0,0.2,7,0,77,93,82.8,9,59,3,1,1,,,,,,,,,,,,,,,,,,,,,2,4,0.0,1.2999999999999998,1,3
4,Charly Musonda Jr.,17.0,be BEL,CB,20-301,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,1.2999999999999998,1,3
5,César Azpilicueta,28.0,es ESP,WB,27-349,90,0,0,0,0,0,0,0,0,75,3,1,0,0.0,0.0,0.0,3,1,57,71,80.3,5,33,3,0,0,,,,,,,,,,,,,,,,,,,,,1,6,0.4,1.2999999999999998,1,3
6,David Luiz,30.0,br BRA,CB,30-112,90,1,0,0,0,3,1,1,0,56,0,2,0,0.7,0.7,0.0,1,0,39,46,84.8,2,33,2,0,0,,,,,,,,,,,,,,,,,,,,,1,10,0.1,1.2999999999999998,1,3
7,Gary Cahill,24.0,eng ENG,CB,31-236,13,0,0,0,0,0,0,0,1,14,0,0,0,0.0,0.0,0.0,0,0,12,12,100.0,1,8,1,0,0,,,,,,,,,,,,,,,,,,,,,1,6,0.1,1.2999999999999998,1,3
8,Jeremie Boga,38.0,ci CIV,AM,20-221,17,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,4,4,0.0,1.2999999999999998,1,3
9,Marcos Alonso,3.0,es ESP,WB,26-227,90,0,0,0,0,5,2,1,0,59,2,1,1,0.2,0.2,0.1,7,0,35,41,85.4,2,33,3,2,1,,,,,,,,,,,,,,,,,,,,,1,4,0.0,1.2999999999999998,1,3
10,Michy Batshuayi,23.0,be BEL,FW,23-314,58,0,0,0,0,1,1,0,0,23,0,0,0,0.0,0.0,0.0,1,0,12,18,66.7,1,10,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,0.0,1.2999999999999998,1,3
11,N'Golo Kanté,7.0,fr FRA,CM,26-136,90,0,0,0,0,4,0,0,0,75,2,2,1,0.1,0.1,0.0,8,1,54,61,88.5,8,50,2,1,0,,,,,,,,,,,,,,,,,,,,,6,5,0.0,1.2999999999999998,1,3
12,Thibaut Courtois,13.0,be BEL,GK,25-093,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,24,38,63.2,0,19,0,0,0,5.0,3.0,2.0,40.0,1.6,1.0,15.0,6.7,34.0,6.0,38.2,37.7,4.0,50.0,51.0,15.0,0.0,0.0,0.0,15.0,6,1,0.0,1.2999999999999998,1,3
13,Willian,22.0,br BRA,AM,29-003,90,0,1,0,0,1,0,0,0,72,2,0,0,0.0,0.0,0.4,5,1,40,57,70.2,5,47,6,3,2,,,,,,,,,,,,,,,,,,,,,0,1,0.0,1.2999999999999998,1,3
14,Álvaro Morata,9.0,es ESP,FW,24-293,32,1,1,0,0,3,2,0,0,12,0,0,0,0.4,0.4,0.5,2,1,5,5,100.0,1,10,0,0,0,,,,,,,,,,,,,,,,,,,,,23,44,0.9,1.2999999999999998,1,3
