index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Clr,Recov,xA,xGC,home,game_id
0,14 Players,,,,,990,4,4,0,0,27,10,0,0,801,23,13,6,2.6,2.6,2.5,52,8,565,681,83.0,62,519,31,19,16,,,,,,,,,,,,,,,,,,,,,1,2,0.2,3.0,1,0
1,Aaron Ramsey,8.0,wls WAL,"DM,CM",26-228,24,1,0,0,0,4,1,0,0,19,0,0,0,0.4,0.4,0.0,1,0,9,12,75.0,1,13,0,0,0,,,,,,,,,,,,,,,,,,,,,1,2,0.2,3.0,1,0
2,Alex Oxlade-Chamberlain,15.0,eng ENG,"WB,RB",23-361,90,0,0,0,0,6,2,0,0,84,3,3,1,0.2,0.2,0.1,4,0,48,67,71.6,6,54,9,9,8,,,,,,,,,,,,,,,,,,,,,0,0,0.0,3.0,1,0
3,Alexandre Lacazette,9.0,fr FRA,"FW,LW,LM",26-075,90,1,0,0,0,3,2,0,0,34,2,0,1,0.3,0.3,0.4,6,2,20,24,83.3,3,19,1,1,1,,,,,,,,,,,,,,,,,,,,,1,2,0.2,3.0,1,0
4,Danny Welbeck,23.0,eng ENG,"AM,FW",26-258,74,1,0,0,0,3,1,0,0,31,1,1,0,1.0,1.0,0.4,4,0,16,21,76.2,2,18,3,2,2,,,,,,,,,,,,,,,,,,,,,1,8,0.2,3.0,1,0
5,Granit Xhaka,29.0,ch SUI,"CM,DM",24-318,90,0,2,0,0,4,1,0,0,114,1,1,1,0.1,0.1,0.2,12,2,86,106,81.1,20,80,4,1,1,,,,,,,,,,,,,,,,,,,,,1,3,0.2,3.0,1,0
6,Héctor Bellerín,24.0,es ESP,"WB,LB",22-145,90,0,0,0,0,1,1,0,0,79,3,0,0,0.3,0.3,0.0,6,1,61,70,87.1,3,51,1,3,1,,,,,,,,,,,,,,,,,,,,,0,2,0.1,3.0,1,0
7,Mesut Özil,11.0,de GER,"AM,RM",28-300,90,0,0,0,0,3,0,0,0,95,1,0,1,0.1,0.1,0.6,10,0,70,86,81.4,6,69,3,2,2,,,,,,,,,,,,,,,,,,,,,5,10,0.0,3.0,1,0
8,Mohamed Elneny,35.0,eg EGY,CM,25-031,66,0,1,0,0,1,0,0,0,82,4,0,2,0.0,0.0,0.1,3,1,65,72,90.3,4,57,0,0,0,,,,,,,,,,,,,,,,,,,,,1,7,0.0,3.0,1,0
9,Nacho Monreal,18.0,es ESP,CB,31-166,90,0,0,0,0,0,0,0,0,70,2,5,0,0.0,0.0,0.0,0,0,54,57,94.7,3,43,1,0,0,,,,,,,,,,,,,,,,,,,,,3,7,0.4,3.0,1,0
10,Olivier Giroud,12.0,fr FRA,FW,30-315,24,1,0,0,0,1,1,0,0,9,0,0,0,0.1,0.1,0.2,1,0,7,8,87.5,0,5,1,0,0,,,,,,,,,,,,,,,,,,,,,8,7,0.0,3.0,1,0
11,Petr Čech,33.0,cz CZE,GK,35-083,90,0,0,0,0,0,0,0,0,25,1,0,0,0.0,0.0,0.0,1,0,19,23,82.6,1,9,0,0,0,3.0,3.0,0.0,0.0,2.1,1.0,4.0,25.0,17.0,3.0,17.6,30.8,6.0,16.7,28.3,13.0,1.0,7.7,3.0,17.0,11,7,0.0,3.0,1,0
12,Rob Holding,16.0,eng ENG,CB,21-325,66,0,0,0,0,0,0,0,0,75,1,1,0,0.0,0.0,0.0,0,0,50,60,83.3,4,50,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.1,3.0,1,0
13,Sead Kolašinac,31.0,ba BIH,CB,24-052,90,0,1,0,0,1,1,0,0,81,4,1,0,0.0,0.0,0.6,3,2,59,73,80.8,9,49,7,1,1,,,,,,,,,,,,,,,,,,,,,0,0,0.0,3.0,1,0
14,Theo Walcott,14.0,eng ENG,RW,28-148,16,0,0,0,0,0,0,0,0,3,0,1,0,0.0,0.0,0.0,1,0,1,2,50.0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,33,57,1.7,3.0,1,0
0,14 Players,,,,,990,3,3,0,0,6,3,1,0,427,17,11,18,1.5,1.5,1.4,6,5,192,315,61.0,16,150,8,16,5,,,,,,,,,,,,,,,,,,,,,0,4,0.0,5.1,0,0
1,Christian Fuchs,28.0,at AUT,LB,31-126,90,0,0,0,0,0,0,0,0,57,1,1,3,0.0,0.0,0.1,1,0,26,49,53.1,2,22,2,1,0,,,,,,,,,,,,,,,,,,,,,0,4,0.0,5.1,0,0
2,Daniel Amartey,18.0,gh GHA,CM,22-233,19,0,0,0,0,0,0,0,0,10,2,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,0.0,5.1,0,0
3,Danny Simpson,2.0,eng ENG,RB,30-219,90,0,0,0,0,0,0,0,0,54,0,1,2,0.0,0.0,0.0,0,0,29,44,65.9,1,13,1,2,1,,,,,,,,,,,,,,,,,,,,,2,5,0.5,5.1,0,0
4,Demarai Gray,7.0,jm JAM,LM,21-044,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,5.1,0,0
5,Harry Maguire,15.0,eng ENG,CB,24-159,90,0,1,0,0,0,0,0,0,36,2,2,3,0.0,0.0,0.4,1,1,18,26,69.2,1,15,2,2,1,,,,,,,,,,,,,,,,,,,,,4,6,0.0,5.1,0,0
6,Jamie Vardy,9.0,eng ENG,FW,30-212,90,2,0,0,0,2,2,0,0,20,1,0,0,0.9,0.9,0.0,0,0,9,12,75.0,1,11,1,1,0,,,,,,,,,,,,,,,,,,,,,2,4,0.0,5.1,0,0
7,Kasper Schmeichel,1.0,dk DEN,GK,30-279,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,17,37,45.9,0,9,0,0,0,10.0,4.0,6.0,60.0,3.3,17.0,36.0,47.2,25.0,0.0,100.0,56.8,11.0,100.0,67.8,13.0,0.0,0.0,2.0,44.5,0,0,0.0,5.1,0,0
8,Kelechi Iheanacho,8.0,ng NGA,FW,20-312,9,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,6,0.3,5.1,0,0
9,Marc Albrighton,11.0,eng ENG,LM,27-266,87,0,1,0,0,0,0,0,0,37,1,0,2,0.0,0.0,0.7,2,2,16,25,64.0,3,17,1,1,0,,,,,,,,,,,,,,,,,,,,,4,4,0.2,5.1,0,0
10,Matty James,22.0,eng ENG,CM,26-020,81,0,0,0,0,0,0,0,0,25,4,2,1,0.0,0.0,0.0,0,0,11,16,68.8,2,7,0,0,0,,,,,,,,,,,,,,,,,,,,,4,4,0.2,5.1,0,0
11,Riyad Mahrez,26.0,dz ALG,RM,26-171,90,0,1,0,0,2,0,0,0,53,2,2,3,0.1,0.1,0.2,2,2,24,34,70.6,0,28,1,6,2,,,,,,,,,,,,,,,,,,,,,6,2,0.0,5.1,0,0
12,Shinji Okazaki,20.0,jp JPN,FW,31-117,71,1,0,0,0,2,1,0,0,28,1,0,0,0.5,0.5,0.0,0,0,10,22,45.5,1,13,0,1,0,,,,,,,,,,,,,,,,,,,,,4,7,0.0,5.1,0,0
13,Wes Morgan,5.0,jm JAM,CB,33-202,90,0,0,0,0,0,0,1,0,26,0,1,2,0.0,0.0,0.0,0,0,12,16,75.0,3,3,0,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0.0,5.1,0,0
14,Wilfred Ndidi,25.0,ng NGA,"CM,DM",20-238,90,0,0,0,0,0,0,0,0,35,3,2,2,0.0,0.0,0.0,0,0,13,22,59.1,2,9,0,1,0,,,,,,,,,,,,,,,,,,,,,29,47,1.2,5.1,0,0
0,14 Players,,,,,990,3,1,0,0,9,4,0,0,566,19,11,15,2.2,2.2,0.6,14,5,307,448,68.5,24,281,13,17,11,,,,,,,,,,,,,,,,,,,,,0,1,0.1,5.4,1,1
1,Abdoulaye Doucouré,16.0,ml MLI,CM,24-223,90,1,0,0,0,1,1,0,0,84,1,1,2,0.8,0.8,0.1,4,2,60,73,82.2,5,45,1,3,3,,,,,,,,,,,,,,,,,,,,,0,0,0.0,5.4,1,1
