Rk;Player;Nation;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
25;Benoît Badiashile;fr FRA;Chelsea;24-188;2001;1;0;11;0.1;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
Rk;Player;Nation;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
26;Dilane Bakwa;fr FRA;Nott'ham Forest;23-035;2002;3;2;161;01.aug;0;0;0;0;0;0;0;0;0.1;0.1;0.3;0.5;4;7;18;0.00;0.00;0.00;0.00;0.00;0.08;0.18;0.26;0.08;0.26;Matches
27;Carlos Baleba;cm CMR;Brighton;21-270;2004;6;5;310;03.apr;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.1;4;6;4;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.03;0.01;0.03;Matches
28;Daniel Ballard;nir NIR;Sunderland;26-008;1999;4;2;167;01.sep;1;0;1;1;0;0;0;0;0.3;0.3;0.4;0.7;0;1;0;0.54;0.00;0.54;0.54;0.54;0.17;0.20;0.37;0.17;0.37;Matches
29;Harvey Barnes;eng ENG;Newcastle Utd;27-295;1997;5;3;296;03.mar;0;0;0;0;0;0;0;0;0.4;0.4;0.7;1.0;14;16;30;0.00;0.00;0.00;0.00;0.00;0.11;0.20;0.32;0.11;0.32;Matches
30;Thierno Barry;fr FRA;Everton;22-344;2002;6;1;163;01.aug;0;0;0;0;0;0;0;0;0.5;0.5;0.0;0.5;2;2;10;0.00;0.00;0.00;0.00;0.00;0.25;0.00;0.25;0.25;0.25;Matches
31;Calvin Bassey;ng NGA;Fulham;25-273;1999;6;6;540;6.0;0;0;0;0;0;0;2;0;0.2;0.2;0.0;0.2;10;18;2;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03;Matches
32;Altay Bayındır;tr TUR;Manchester Utd;27-169;1998;6;6;540;6.0;0;0;0;0;0;0;0;0;0.0;0.0;0.2;0.2;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.00;0.04;Matches
33;Jean-Ricner Bellegarde;ht HAI;Wolves;27-095;1998;6;3;239;02.jul;0;0;0;0;0;0;0;0;0.2;0.2;0.3;0.5;8;17;8;0.00;0.00;0.00;0.00;0.00;0.07;0.11;0.19;0.07;0.19;Matches
34;Rodrigo Bentancur;uy URU;Tottenham;28-097;1997;5;4;322;03.jun;0;0;0;0;0;0;0;0;0.0;0.0;0.2;0.2;3;20;7;0.00;0.00;0.00;0.00;0.00;0.01;0.05;0.07;0.01;0.07;Matches
35;Sander Berge;no NOR;Fulham;27-228;1998;6;6;510;05.jul;0;0;0;0;0;0;1;0;0.4;0.4;0.3;0.7;6;25;4;0.00;0.00;0.00;0.00;0.00;0.07;0.05;0.12;0.07;0.12;Matches
36;Lucas Bergvall;se SWE;Tottenham;19-240;2006;6;4;367;04.jan;1;1;2;1;0;0;1;0;0.6;0.6;0.3;0.8;9;17;23;0.25;0.25;0.49;0.25;0.49;0.14;0.06;0.20;0.14;0.20;Matches
37;Beto;gw GNB;Everton;27-242;1998;6;5;381;04.feb;1;0;1;1;0;0;1;0;02.feb;02.feb;0.2;02.apr;1;2;16;0.24;0.00;0.24;0.24;0.24;0.52;0.04;0.56;0.52;0.56;Matches
38;Marco Bizot;nl NED;Aston Villa;34-204;1991;2;2;180;2.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
39;Oscar Bobb;no NOR;Manchester City;22-080;2003;5;3;286;03.feb;0;1;1;0;0;0;0;0;0.3;0.3;0.4;0.7;11;10;37;0.00;0.31;0.31;0.00;0.31;0.09;0.11;0.21;0.09;0.21;Matches
