Rk;Player;Nation;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
102;Marcus Edwards;eng ENG;Burnley;26-301;1998;1;0;5;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
103;Hjalmar Ekdal;se SWE;Burnley;26-344;1998;6;6;533;05.sep;0;0;0;0;0;0;0;0;0.2;0.2;0.1;0.3;1;6;0;0.00;0.00;0.00;0.00;0.00;0.03;0.02;0.06;0.03;0.06;Matches
104;Hugo Ekitike;fr FRA;Liverpool;23-102;2002;5;5;370;04.jan;3;1;4;3;0;0;0;0;01.aug;01.aug;0.3;2.0;6;8;19;0.73;0.24;0.97;0.73;0.97;0.44;0.06;0.50;0.44;0.50;Matches
105;Anthony Elanga;se SWE;Newcastle Utd;23-156;2002;6;2;257;02.sep;0;0;0;0;0;0;0;0;0.6;0.6;0.3;0.9;9;4;26;0.00;0.00;0.00;0.00;0.00;0.21;0.10;0.31;0.21;0.31;Matches
106;Harvey Elliott;eng ENG;Aston Villa;22-179;2003;3;1;96;01.jan;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;3;5;11;0.00;0.00;0.00;0.00;0.00;0.17;0.00;0.17;0.17;0.17;Matches
107;Wataru Endo;jp JPN;Liverpool;32-233;1993;2;0;31;0.3;0;1;1;0;0;0;1;0;0.0;0.0;0.1;0.1;1;1;0;0.00;feb.90;feb.90;0.00;feb.90;0.00;0.29;0.29;0.00;0.29;Matches
108;Romain Esse;eng ENG;Crystal Palace;20-140;2005;1;0;24;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;2;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
109;Maxime Estève;fr FRA;Burnley;23-127;2002;6;6;533;05.sep;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.3;1;12;0;0.00;0.00;0.00;0.00;0.00;0.04;0.01;0.04;0.04;0.04;Matches
110;Evanilson;br BRA;Bournemouth;25-359;1999;6;6;529;05.sep;1;0;1;1;0;0;1;0;1.0;1.0;0.7;01.jul;4;7;16;0.17;0.00;0.17;0.17;0.17;0.17;0.11;0.29;0.17;0.29;Matches
111;Eberechi Eze;eng ENG;Arsenal;27-093;1998;4;2;234;02.jun;0;2;2;0;0;0;0;0;0.6;0.6;0.7;01.mar;8;14;16;0.00;0.77;0.77;0.00;0.77;0.22;0.27;0.49;0.22;0.49;Matches
112;Eberechi Eze;eng ENG;Crystal Palace;27-093;1998;1;1;84;0.9;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;0;1;2;0.00;0.00;0.00;0.00;0.00;0.26;0.00;0.26;0.26;0.26;Matches
113;Bruno Fernandes;pt POR;Manchester Utd;31-022;1994;6;6;537;6.0;2;0;2;1;1;3;2;0;03.mai;01.feb;01.mar;02.apr;10;53;16;0.34;0.00;0.34;0.17;0.17;0.59;0.21;0.81;0.20;0.41;Matches
114;Mateus Fernandes;pt POR;West Ham;21-082;2004;4;4;311;03.mai;0;0;0;0;0;0;0;0;0.1;0.1;0.5;0.6;5;11;6;0.00;0.00;0.00;0.00;0.00;0.03;0.16;0.19;0.03;0.19;Matches
115;Enzo Fernández;ar ARG;Chelsea;24-256;2001;6;6;529;05.sep;3;1;4;2;1;1;1;0;03.apr;02.jun;0.8;03.apr;8;37;23;0.51;0.17;0.68;0.34;0.51;0.58;0.13;0.71;0.45;0.58;Matches
116;Zian Flemming;nl NED;Burnley;27-060;1998;3;0;24;0.3;0;0;0;0;0;0;0;0;0.2;0.2;0.1;0.2;1;0;2;0.00;0.00;0.00;0.00;0.00;0.56;0.26;0.83;0.56;0.83;Matches
117;Phil Foden;eng ENG;Manchester City;25-125;2000;4;3;263;02.sep;1;0;1;1;0;0;1;0;0.5;0.5;0.1;0.6;4;14;12;0.34;0.00;0.34;0.34;0.34;0.15;0.05;0.20;0.15;0.20;Matches
118;Wesley Fofana;fr FRA;Chelsea;24-287;2000;3;2;130;01.apr;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;3;4;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
119;Lyle Foster;za RSA;Burnley;25-027;2000;6;6;502;05.jun;1;1;2;1;0;0;1;0;0.9;0.9;0.6;01.jun;6;5;30;0.18;0.18;0.36;0.18;0.36;0.17;0.12;0.29;0.17;0.29;Matches
120;Jeremie Frimpong;nl NED;Liverpool;24-294;2000;3;1;79;0.9;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;3;3;7;0.00;0.00;0.00;0.00;0.00;0.09;0.00;0.09;0.09;0.09;Matches
121;Niclas Füllkrug;de GER;West Ham;32-233;1993;5;4;320;03.jun;0;0;0;0;0;0;0;0;0.5;0.5;0.5;1.0;1;5;12;0.00;0.00;0.00;0.00;0.00;0.15;0.15;0.29;0.15;0.29;Matches
122;Cody Gakpo;nl NED;Liverpool;26-146;1999;6;5;466;05.feb;1;2;3;1;0;0;0;0;0.7;0.7;01.jun;02.mar;20;18;49;0.19;0.39;0.58;0.19;0.58;0.14;0.31;0.45;0.14;0.45;Matches
123;Idrissa Gana Gueye;sn SEN;Everton;36-004;1989;6;6;526;05.aug;1;0;1;1;0;0;0;0;0.7;0.7;0.1;0.9;2;30;9;0.17;0.00;0.17;0.17;0.17;0.13;0.02;0.15;0.13;0.15;Matches
124;Alejandro Garnacho;ar ARG;Chelsea;21-091;2004;1;0;11;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;3;0;2;0.00;0.00;0.00;0.00;0.00;0.00;0.66;0.66;0.00;0.66;Matches
125;James Garner;eng ENG;Everton;24-201;2001;6;6;540;6.0;1;1;2;1;0;0;1;0;0.4;0.4;0.7;01.feb;4;33;11;0.17;0.17;0.33;0.17;0.33;0.07;0.12;0.19;0.07;0.19;Matches
Rk;Player;Nation;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
126;Lutsharel Geertruida;nl NED;Sunderland;25-074;2000;3;0;47;0.5;0;0;0;0;0;0;0;0;0.6;0.6;0.0;0.6;2;0;0;0.00;0.00;0.00;0.00;0.00;jan.17;0.00;jan.17;jan.17;jan.17;Matches
127;Tyrique George;eng ENG;Chelsea;19-238;2006;3;0;138;01.mai;0;0;0;0;0;0;2;0;0.2;0.2;0.0;0.2;1;4;9;0.00;0.00;0.00;0.00;0.00;0.16;0.00;0.16;0.16;0.16;Matches
128;Morgan Gibbs-White;eng ENG;Nott'ham Forest;25-246;2000;6;5;464;05.feb;0;1;1;0;0;0;0;0;0.9;0.9;0.4;01.feb;17;41;47;0.00;0.19;0.19;0.00;0.19;0.17;0.07;0.24;0.17;0.24;Matches
129;Jamie Gittens;eng ENG;Chelsea;21-053;2004;4;2;145;01.jun;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.2;5;1;11;0.00;0.00;0.00;0.00;0.00;0.07;0.09;0.15;0.07;0.15;Matches
130;Wilfried Gnonto;it ITA;Leeds United;21-329;2003;4;3;194;02.feb;0;0;0;0;0;0;1;0;0.2;0.2;0.1;0.3;4;4;14;0.00;0.00;0.00;0.00;0.00;0.08;0.04;0.12;0.08;0.12;Matches
131;João Gomes;br BRA;Wolves;24-230;2001;6;6;514;05.jul;0;0;0;0;0;0;3;0;0.2;0.2;0.1;0.4;5;33;6;0.00;0.00;0.00;0.00;0.00;0.04;0.03;0.07;0.04;0.07;Matches
132;Rodrigo Gomes;pt POR;Wolves;22-085;2003;4;2;165;01.aug;1;0;1;1;0;0;0;0;0.7;0.7;0.1;0.7;3;2;15;0.55;0.00;0.55;0.55;0.55;0.36;0.04;0.40;0.36;0.40;Matches
133;Toti Gomes;pt POR;Wolves;26-257;1999;5;5;390;04.mar;0;0;0;0;0;0;1;1;0.0;0.0;0.0;0.1;5;10;1;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.02;0.01;0.02;Matches
134;Diego Gómez;py PAR;Brighton;22-187;2003;5;2;235;02.jun;0;0;0;0;0;0;2;0;0.1;0.1;0.4;0.6;1;7;4;0.00;0.00;0.00;0.00;0.00;0.05;0.16;0.21;0.05;0.21;Matches
135;Joe Gomez;eng ENG;Liverpool;28-130;1997;2;0;29;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
136;Nicolás González;es ESP;Manchester City;23-270;2002;5;3;283;03.jan;0;0;0;0;0;0;1;0;0.1;0.1;0.3;0.4;4;22;5;0.00;0.00;0.00;0.00;0.00;0.03;0.10;0.13;0.03;0.13;Matches
137;Anthony Gordon;eng ENG;Newcastle Utd;24-218;2001;3;3;201;02.feb;0;0;0;0;0;0;0;1;01.jan;01.jan;0.1;01.feb;5;5;6;0.00;0.00;0.00;0.00;0.00;0.51;0.05;0.56;0.51;0.56;Matches
138;Ryan Gravenberch;nl NED;Liverpool;23-137;2002;5;5;450;5.0;2;1;3;2;0;0;2;0;0.4;0.4;0.6;1.0;15;27;12;0.40;0.20;0.60;0.40;0.60;0.08;0.11;0.19;0.08;0.19;Matches
139;Archie Gray;eng ENG;Tottenham;19-202;2006;2;1;72;0.8;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2;7;0;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.03;Matches
140;Jack Grealish;eng ENG;Everton;30-020;1995;6;5;467;05.feb;0;4;4;0;0;0;2;0;0.4;0.4;02.apr;02.aug;43;24;60;0.00;0.77;0.77;0.00;0.77;0.08;0.46;0.55;0.08;0.55;Matches
141;Brajan Gruda;de GER;Brighton;21-122;2004;6;1;150;01.jul;1;1;2;1;0;0;0;0;01.feb;01.feb;0.4;01.jul;5;3;11;0.60;0.60;jan.20;0.60;jan.20;0.73;0.25;0.98;0.73;0.98;Matches
142;Ilia Gruev;bg BUL;Leeds United;25-147;2000;3;2;192;02.jan;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;6;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
143;Gabriel Gudmundsson;se SWE;Leeds United;26-154;1999;6;6;530;05.sep;0;0;0;0;0;0;1;0;0.2;0.2;0.3;0.5;15;19;18;0.00;0.00;0.00;0.00;0.00;0.03;0.05;0.08;0.03;0.08;Matches
144;Marc Guéhi;eng ENG;Crystal Palace;25-079;2000;6;6;540;6.0;1;1;2;1;0;0;0;0;0.4;0.4;0.5;0.9;4;23;1;0.17;0.17;0.33;0.17;0.33;0.07;0.08;0.14;0.07;0.14;Matches
145;Evann Guessand;ci CIV;Aston Villa;24-091;2001;5;3;260;02.sep;0;0;0;0;0;0;0;0;0.3;0.3;0.0;0.3;8;7;20;0.00;0.00;0.00;0.00;0.00;0.11;0.00;0.11;0.11;0.11;Matches
146;Luis Guilherme;br BRA;West Ham;19-233;2006;3;0;54;0.6;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;1;0;3;0.00;0.00;0.00;0.00;0.00;0.11;0.00;0.11;0.11;0.11;Matches
147;Bruno Guimarães;br BRA;Newcastle Utd;27-318;1997;5;5;450;5.0;1;0;1;1;0;0;2;0;0.2;0.2;0.2;0.5;3;28;13;0.20;0.00;0.20;0.20;0.20;0.05;0.04;0.09;0.05;0.09;Matches
148;Marc Guiu;es ESP;Sunderland;19-269;2006;2;0;13;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;1;0.00;0.00;0.00;0.00;0.00;0.14;0.00;0.14;0.14;0.14;Matches
149;Malo Gusto;fr FRA;Chelsea;22-134;2003;5;2;223;02.mai;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;4;13;15;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.02;0.01;0.02;Matches
150;Joško Gvardiol;hr CRO;Manchester City;23-250;2002;3;3;250;02.aug;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;2;17;0;0.00;0.00;0.00;0.00;0.00;0.01;0.03;0.05;0.01;0.05;Matches
Rk;Player;Nation;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
151;Viktor Gyökeres;se SWE;Arsenal;27-118;1998;6;6;488;05.apr;3;0;3;2;1;1;1;0;02.apr;01.jun;0.3;01.sep;3;4;29;0.55;0.00;0.55;0.37;0.37;0.44;0.05;0.49;0.30;0.35;Matches
152;Erling Haaland;no NOR;Manchester City;25-071;2000;6;6;506;05.jun;8;1;9;8;0;0;0;0;07.mai;07.mai;01.jan;08.jun;9;5;17;jan.42;0.18;jan.60;jan.42;jan.60;jan.34;0.20;jan.54;jan.34;jan.54;Matches
153;Lewis Hall;eng ENG;Newcastle Utd;21-022;2004;3;1;133;01.mai;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;9;7;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02;Matches
154;Jack Harrison;eng ENG;Leeds United;28-314;1996;5;0;106;01.feb;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;6;3;7;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.06;0.06;0.06;Matches
155;Quilindschy Hartman;nl NED;Burnley;23-320;2001;6;6;538;6.0;0;1;1;0;0;0;1;0;0.1;0.1;0.3;0.5;1;14;16;0.00;0.17;0.17;0.00;0.17;0.02;0.06;0.08;0.02;0.08;Matches
156;Jorrel Hato;nl NED;Chelsea;19-207;2006;3;2;145;01.jun;0;0;0;0;0;0;2;0;0.0;0.0;0.0;0.0;0;3;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
157;Kai Havertz;de GER;Arsenal;26-111;1999;1;0;30;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;2;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
158;Ayden Heaven;eng ENG;Manchester Utd;19-008;2006;1;0;3;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
159;Jan Paul van Hecke;nl NED;Brighton;25-114;2000;6;6;540;6.0;0;0;0;0;0;0;2;0;0.3;0.3;0.0;0.3;11;34;1;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.06;0.06;0.06;Matches
160;Hwang Hee-chan;kr KOR;Wolves;29-247;1996;5;3;218;02.apr;1;0;1;1;0;0;0;0;0.6;0.6;0.0;0.6;2;4;9;0.41;0.00;0.41;0.41;0.41;0.24;0.01;0.25;0.24;0.25;Matches
161;Dean Henderson;eng ENG;Crystal Palace;28-202;1997;6;6;540;6.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
162;Jordan Henderson;eng ENG;Brentford;35-105;1990;6;5;406;04.mai;0;2;2;0;0;0;0;0;0.0;0.0;0.5;0.5;3;20;2;0.00;0.44;0.44;0.00;0.44;0.01;0.10;0.11;0.01;0.11;Matches
163;Rico Henry;eng ENG;Brentford;28-084;1997;6;1;168;01.sep;0;0;0;0;0;0;1;0;0.1;0.1;0.1;0.3;12;2;11;0.00;0.00;0.00;0.00;0.00;0.07;0.07;0.13;0.07;0.13;Matches
164;Mads Hermansen;dk DEN;West Ham;25-081;2000;4;4;360;4.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
165;Aaron Hickey;sct SCO;Brentford;23-112;2002;4;1;95;01.jan;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;3;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
166;James Hill;eng ENG;Bournemouth;23-263;2002;4;1;198;02.feb;0;0;0;0;0;0;1;0;0.1;0.1;0.0;0.1;0;8;5;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.06;0.06;0.06;Matches
167;Jack Hinshelwood;eng ENG;Brighton;20-172;2005;3;2;109;01.feb;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2;2;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
168;Ki-Jana Hoever;nl NED;Wolves;23-255;2002;2;2;108;01.feb;0;0;0;0;0;0;0;0;0.0;0.0;0.2;0.2;1;2;9;0.00;0.00;0.00;0.00;0.00;0.00;0.21;0.21;0.00;0.21;Matches
169;Callum Hudson-Odoi;eng ENG;Nott'ham Forest;24-327;2000;6;4;372;04.jan;1;0;1;1;0;0;0;0;0.4;0.4;0.7;01.jan;21;16;54;0.24;0.00;0.24;0.24;0.24;0.09;0.16;0.26;0.09;0.26;Matches
170;Will Hughes;eng ENG;Crystal Palace;30-166;1995;6;5;414;04.jun;0;0;0;0;0;0;3;0;0.2;0.2;0.5;0.6;2;25;3;0.00;0.00;0.00;0.00;0.00;0.03;0.10;0.14;0.03;0.14;Matches
171;Trai Hume;nir NIR;Sunderland;23-196;2002;6;6;540;6.0;0;0;0;0;0;0;0;0;0.1;0.1;0.2;0.3;5;21;16;0.00;0.00;0.00;0.00;0.00;0.01;0.04;0.05;0.01;0.05;Matches
172;Bashir Humphreys;eng ENG;Burnley;22-199;2003;1;0;2;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
173;Omari Hutchinson;eng ENG;Nott'ham Forest;21-335;2003;3;0;27;0.3;0;0;0;0;0;0;0;0;0.4;0.4;0.6;1.0;4;2;8;0.00;0.00;0.00;0.00;0.00;jan.25;jan.80;03.jun;jan.25;03.jun;Matches
174;Tim Iroegbunam;eng ENG;Everton;22-092;2003;4;3;222;02.mai;0;0;0;0;0;0;3;0;0.2;0.2;0.0;0.2;1;6;2;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.06;0.06;0.06;Matches
175;Andy Irving;sct SCO;West Ham;25-140;2000;2;0;23;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.15;0.15;0.00;0.15;Matches
Rk;Player;Nation;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
176;Alexander Isak;se SWE;Liverpool;26-009;1999;2;1;107;01.feb;0;0;0;0;0;0;0;0;0.4;0.4;0.0;0.4;0;2;5;0.00;0.00;0.00;0.00;0.00;0.36;0.00;0.36;0.36;0.36;Matches
177;Wilson Isidor;fr FRA;Sunderland;25-034;2000;6;3;321;03.jun;3;0;3;3;0;0;0;0;01.feb;01.feb;0.0;01.feb;1;3;13;0.84;0.00;0.84;0.84;0.84;0.35;0.00;0.35;0.35;0.35;Matches
178;Alex Iwobi;ng NGA;Fulham;29-150;1996;6;6;461;05.jan;1;2;3;1;0;0;1;0;0.3;0.3;01.mar;01.jun;24;33;27;0.20;0.39;0.59;0.20;0.59;0.06;0.25;0.31;0.06;0.31;Matches
179;Daniel James;wls WAL;Leeds United;27-324;1997;4;3;216;02.apr;0;0;0;0;0;0;0;0;0.4;0.4;0.3;0.7;8;5;17;0.00;0.00;0.00;0.00;0.00;0.18;0.12;0.30;0.18;0.30;Matches
180;Reece James;eng ENG;Chelsea;25-296;1999;6;3;334;03.jul;0;1;1;0;0;0;2;0;0.1;0.1;01.jan;01.feb;8;17;16;0.00;0.27;0.27;0.00;0.27;0.03;0.30;0.33;0.03;0.33;Matches
181;Vitaly Janelt;de GER;Brentford;27-143;1998;2;0;25;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.00;0.04;Matches
182;Mathias Jensen;dk DEN;Brentford;29-272;1996;3;2;153;01.jul;1;0;1;1;0;0;0;0;0.2;0.2;0.2;0.4;2;11;2;0.59;0.00;0.59;0.59;0.59;0.13;0.11;0.24;0.13;0.24;Matches
183;Igor Jesus;br BRA;Nott'ham Forest;24-217;2001;5;0;74;0.8;0;0;0;0;0;0;0;0;0.3;0.3;0.0;0.3;0;1;4;0.00;0.00;0.00;0.00;0.00;0.34;0.05;0.39;0.34;0.39;Matches
184;Álex Jiménez;es ESP;Bournemouth;20-145;2005;3;2;121;01.mar;0;0;0;0;0;0;3;0;0.1;0.1;0.1;0.1;5;7;3;0.00;0.00;0.00;0.00;0.00;0.06;0.04;0.10;0.06;0.10;Matches
185;Raúl Jiménez;mx MEX;Fulham;34-148;1991;6;2;142;01.jun;1;0;1;1;0;0;0;0;0.5;0.5;0.0;0.5;0;3;5;0.63;0.00;0.63;0.63;0.63;0.28;0.00;0.28;0.28;0.28;Matches
186;João Pedro;br BRA;Chelsea;24-004;2001;6;6;512;05.jul;2;3;5;2;0;0;0;0;01.mai;01.mai;01.apr;02.sep;13;19;37;0.35;0.53;0.88;0.35;0.88;0.26;0.26;0.52;0.26;0.52;Matches
187;Joelinton;br BRA;Newcastle Utd;29-047;1996;4;4;314;03.mai;0;0;0;0;0;0;2;0;0.1;0.1;0.7;0.8;6;14;9;0.00;0.00;0.00;0.00;0.00;0.02;0.21;0.24;0.02;0.24;Matches
188;Brennan Johnson;wls WAL;Tottenham;24-130;2001;6;3;268;3.0;2;0;2;2;0;0;1;0;0.9;0.9;0.2;01.jan;8;6;18;0.67;0.00;0.67;0.67;0.67;0.30;0.06;0.36;0.30;0.36;Matches
189;Sam Johnstone;eng ENG;Wolves;32-189;1993;2;2;180;2.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
190;Curtis Jones;eng ENG;Liverpool;24-243;2001;5;1;191;02.jan;0;0;0;0;0;0;0;0;0.0;0.0;0.4;0.4;3;25;5;0.00;0.00;0.00;0.00;0.00;0.02;0.18;0.20;0.02;0.20;Matches
191;Eli Junior Kroupi;fr FRA;Bournemouth;19-099;2006;3;0;20;0.2;1;0;1;1;0;0;1;0;0.2;0.2;0.0;0.2;1;0;1;apr.50;0.00;apr.50;apr.50;apr.50;0.77;0.00;0.77;0.77;0.77;Matches
192;Hamed Junior Traorè;ci CIV;Bournemouth;25-226;2000;1;0;16;0.2;0;1;1;0;0;0;0;0;0.0;0.0;0.2;0.2;0;0;0;0.00;mai.63;mai.63;0.00;mai.63;0.00;01.okt;01.okt;0.00;01.okt;Matches
193;James Justin;eng ENG;Leeds United;27-219;1998;2;0;17;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
194;Filip Jørgensen;dk DEN;Chelsea;23-167;2002;1;0;83;0.9;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
195;Ferdi Kadioglu;tr TUR;Brighton;25-358;1999;5;2;285;03.feb;0;0;0;0;0;0;2;0;0.1;0.1;0.4;0.4;6;11;11;0.00;0.00;0.00;0.00;0.00;0.02;0.12;0.14;0.02;0.14;Matches
196;Sasa Kalajdzic;at AUT;Wolves;28-085;1997;1;0;14;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
197;Arnaud Kalimuendo;fr FRA;Nott'ham Forest;23-253;2002;4;0;64;0.7;0;0;0;0;0;0;0;0;0.4;0.4;0.0;0.4;4;2;12;0.00;0.00;0.00;0.00;0.00;0.46;0.02;0.47;0.46;0.47;Matches
198;Daichi Kamada;jp JPN;Crystal Palace;29-056;1996;4;4;356;4.0;0;0;0;0;0;0;0;0;0.3;0.3;0.9;01.feb;5;18;15;0.00;0.00;0.00;0.00;0.00;0.08;0.23;0.31;0.08;0.31;Matches
199;Boubacar Kamara;fr FRA;Aston Villa;25-311;1999;4;3;206;02.mar;0;1;1;0;0;0;1;0;0.1;0.1;0.1;0.1;2;23;0;0.00;0.44;0.44;0.00;0.44;0.02;0.03;0.05;0.02;0.05;Matches
200;Michael Kayode;it ITA;Brentford;21-082;2004;6;6;528;05.sep;0;0;0;0;0;0;0;0;0.0;0.0;0.4;0.4;9;11;24;0.00;0.00;0.00;0.00;0.00;0.00;0.06;0.06;0.00;0.06;Matches
Rk;Player;Nation;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
201;Michael Keane;eng ENG;Everton;32-262;1993;6;6;540;6.0;1;0;1;1;0;0;0;0;0.6;0.6;0.1;0.7;1;13;0;0.17;0.00;0.17;0.17;0.17;0.10;0.02;0.12;0.10;0.12;Matches
202;Caoimhín Kelleher;ie IRL;Brentford;26-311;1998;6;6;540;6.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
203;Milos Kerkez;hu HUN;Liverpool;21-327;2003;6;6;458;05.jan;0;0;0;0;0;0;2;0;0.2;0.2;0.1;0.3;7;22;21;0.00;0.00;0.00;0.00;0.00;0.04;0.02;0.05;0.04;0.05;Matches
204;Kevin;br BRA;Fulham;22-269;2003;3;0;62;0.7;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.1;4;3;11;0.00;0.00;0.00;0.00;0.00;0.03;0.06;0.09;0.03;0.09;Matches
205;Abdukodir Khusanov;uz UZB;Manchester City;21-213;2004;4;3;228;02.mai;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;2;5;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
206;Max Kilman;eng ENG;West Ham;28-130;1997;6;6;540;6.0;0;0;0;0;0;0;3;0;0.4;0.4;0.2;0.6;1;14;1;0.00;0.00;0.00;0.00;0.00;0.07;0.03;0.09;0.07;0.09;Matches
207;Joshua King;eng ENG;Fulham;18-270;2007;6;6;407;04.mai;0;0;0;0;0;0;2;0;0.7;0.7;0.1;0.9;11;16;25;0.00;0.00;0.00;0.00;0.00;0.16;0.03;0.19;0.16;0.19;Matches
208;Justin Kluivert;nl NED;Bournemouth;26-148;1999;5;1;131;01.mai;0;0;0;0;0;0;0;0;0.3;0.3;0.2;0.6;4;6;10;0.00;0.00;0.00;0.00;0.00;0.21;0.16;0.37;0.21;0.37;Matches
