index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Clr,Recov,xA,xGC,home,game_id
5,Bafodé Diakité,18.0,fr FRA,CB,24-221,90,0,0,0,0,0,0,0,0,56,2,1,1,0.0,0.0,0.0,0,0,30,41,73.2,2,20,0,0,0,,,,,,,,,,,,,,,,,,,,,1,2,0.0,4.4,0,0
6,Ben Winterburn,47.0,eng ENG,CM,20-345,7,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,3,0.0,4.4,0,0
7,David Brooks,7.0,wls WAL,LM,28-038,83,0,1,0,0,2,0,1,0,30,2,0,0,0.2,0.2,0.7,4,1,14,23,60.9,2,15,1,3,2,,,,,,,,,,,,,,,,,,,,,3,6,0.1,4.4,0,0
8,Eli Junior Kroupi,22.0,fr FRA,CM,19-053,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,4.4,0,0
9,Evanilson,9.0,br BRA,FW,25-313,90,0,0,0,0,3,0,1,0,22,0,0,1,0.3,0.3,0.0,2,0,9,13,69.2,1,8,1,0,0,,,,,,,,,,,,,,,,,,,,,3,4,0.1,4.4,0,0
10,Hamed Junior Traorè,25.0,ci CIV,"LM,CM",25-180,17,0,1,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.2,1,1,2,3,66.7,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,11,2,0.1,4.4,0,0
11,James Hill,23.0,eng ENG,RB,23-217,1,0,0,0,0,0,0,0,0,6,0,1,0,0.0,0.0,0.0,0,0,2,4,50.0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,6,8,0.0,4.4,0,0
12,Marcos Senesi,5.0,ar ARG,CB,28-097,90,0,0,0,0,0,0,0,0,52,3,1,2,0.0,0.0,0.1,2,0,22,33,66.7,2,24,0,0,0,,,,,,,,,,,,,,,,,,,,,7,2,0.1,4.4,0,0
13,Marcus Tavernier,16.0,eng ENG,"CM,DM",26-146,90,0,0,0,0,2,1,0,0,58,3,1,0,0.3,0.3,0.2,3,0,27,41,65.9,4,22,3,5,3,,,,,,,,,,,,,,,,,,,,,1,0,0.0,4.4,0,0
14,Tyler Adams,12.0,us USA,DM,26-182,89,0,0,0,0,0,0,0,0,58,5,4,3,0.0,0.0,0.0,1,1,28,39,71.8,0,17,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,0.0,4.4,0,0
15,Đorđe Petrović,1.0,rs SRB,GK,25-311,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,27,40,67.5,0,23,0,0,0,10.0,4.0,6.0,60.0,3.0,7.0,20.0,35.0,29.0,5.0,41.4,36.1,11.0,72.7,57.1,15.0,2.0,13.3,4.0,15.3,44,46,0.6,4.4,0,0
0,12 Players,,,,,965,0,0,0,0,3,3,1,1,445,11,10,13,0.2,0.2,0.2,6,0,243,345,70.4,35,249,10,18,9,,,,,,,,,,,,,,,,,,,,,1,3,0.0,2.6999999999999997,1,1
1,Amadou Onana,24.0,be BEL,"DM,CM",24-000,90,0,0,0,0,0,0,0,0,54,2,2,1,0.0,0.0,0.0,0,0,36,43,83.7,5,39,2,2,2,,,,,,,,,,,,,,,,,,,,,0,5,0.1,2.6999999999999997,1,1
2,Boubacar Kamara,44.0,fr FRA,"DM,CB",25-266,90,0,0,0,0,1,1,1,0,51,2,1,1,0.1,0.1,0.0,1,0,32,39,82.1,13,28,1,3,1,,,,,,,,,,,,,,,,,,,,,0,7,0.1,2.6999999999999997,1,1
3,Donyell Malen,17.0,nl NED,RM,26-219,7,0,0,0,0,1,1,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,2,1,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,2.6999999999999997,1,1
4,Ezri Konsa,4.0,eng ENG,CB,27-297,65,0,0,0,0,0,0,0,1,38,0,0,1,0.0,0.0,0.0,0,0,30,33,90.9,4,25,1,1,0,,,,,,,,,,,,,,,,,,,,,2,2,0.0,2.6999999999999997,1,1
5,John McGinn,7.0,sct SCO,"RW,RM",30-302,83,0,0,0,0,0,0,0,0,32,0,0,1,0.0,0.0,0.1,2,0,15,22,68.2,1,19,1,3,1,,,,,,,,,,,,,,,,,,,,,2,7,0.0,2.6999999999999997,1,1
6,Lucas Digne,12.0,fr FRA,LB,32-027,90,0,0,0,0,0,0,0,0,47,2,2,1,0.0,0.0,0.0,0,0,23,39,59.0,2,25,0,0,0,,,,,,,,,,,,,,,,,,,,,2,6,0.0,2.6999999999999997,1,1
7,Marco Bizot,40.0,nl NED,GK,34-159,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,24,45,53.3,0,26,0,0,0,3.0,0.0,3.0,100.0,0.6,4.0,24.0,16.7,34.0,4.0,41.2,35.6,11.0,90.9,57.7,22.0,3.0,13.6,3.0,15.1,3,3,0.0,2.6999999999999997,1,1
8,Matty Cash,2.0,pl POL,RB,28-009,90,0,0,0,0,0,0,0,0,41,2,1,5,0.0,0.0,0.0,0,0,15,25,60.0,0,13,0,1,0,,,,,,,,,,,,,,,,,,,,,3,2,0.0,2.6999999999999997,1,1
9,Morgan Rogers,27.0,eng ENG,"LW,LM",23-021,90,0,0,0,0,0,0,0,0,30,1,1,0,0.0,0.0,0.1,1,0,10,20,50.0,4,23,0,3,2,,,,,,,,,,,,,,,,,,,,,3,1,0.0,2.6999999999999997,1,1
10,Ollie Watkins,11.0,eng ENG,FW,29-229,90,0,0,0,0,1,1,0,0,25,0,1,1,0.1,0.1,0.0,1,0,9,16,56.3,1,14,4,4,3,,,,,,,,,,,,,,,,,,,,,5,2,0.0,2.6999999999999997,1,1
11,Tyrone Mings,5.0,eng ENG,CB,32-156,90,0,0,0,0,0,0,0,0,47,0,1,1,0.0,0.0,0.0,0,0,35,42,83.3,4,21,0,0,0,,,,,,,,,,,,,,,,,,,,,0,2,0.0,2.6999999999999997,1,1
12,Youri Tielemans,8.0,be BEL,"AM,CM",28-101,90,0,0,0,0,0,0,0,0,31,2,1,1,0.0,0.0,0.0,1,0,14,21,66.7,1,14,0,0,0,,,,,,,,,,,,,,,,,,,,,21,40,0.2,2.6999999999999997,1,1
0,14 Players,,,,,990,0,0,0,0,16,3,1,0,610,10,12,4,1.4,1.4,1.4,29,0,403,499,80.8,51,406,30,14,2,,,,,,,,,,,,,,,,,,,,,0,4,0.0,0.4,0,1
1,Anthony Elanga,20.0,se SWE,RW,23-111,77,0,0,0,0,2,1,0,0,36,0,0,0,0.6,0.6,0.2,2,0,20,27,74.1,1,27,6,4,1,,,,,,,,,,,,,,,,,,,,,1,3,0.3,0.4,0,1
2,Anthony Gordon,10.0,eng ENG,FW,24-173,90,0,0,0,0,7,2,0,0,35,0,0,0,0.5,0.5,0.0,2,0,13,22,59.1,1,22,4,2,1,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.4,0,1
3,Bruno Guimarães,39.0,br BRA,RM,27-273,90,0,0,0,0,0,0,0,0,57,2,1,1,0.0,0.0,0.0,4,0,41,48,85.4,9,38,1,0,0,,,,,,,,,,,,,,,,,,,,,1,3,0.1,0.4,0,1
4,Dan Burn,33.0,eng ENG,CB,33-099,90,0,0,0,0,0,0,0,0,66,1,2,0,0.0,0.0,0.0,0,0,42,52,80.8,5,37,0,0,0,,,,,,,,,,,,,,,,,,,,,0,2,0.0,0.4,0,1
5,Fabian Schär,5.0,ch SUI,CB,33-239,90,0,0,0,0,3,0,0,0,67,1,4,0,0.0,0.0,0.0,1,0,44,52,84.6,4,44,1,0,0,,,,,,,,,,,,,,,,,,,,,1,5,0.0,0.4,0,1
6,Harvey Barnes,11.0,eng ENG,LW,27-250,89,0,0,0,0,3,0,0,0,44,0,0,0,0.2,0.2,0.5,4,0,25,34,73.5,5,39,7,3,0,,,,,,,,,,,,,,,,,,,,,0,1,0.0,0.4,0,1
7,Jacob Murphy,23.0,eng ENG,RW,30-173,13,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,9,11,81.8,0,12,1,2,0,,,,,,,,,,,,,,,,,,,,,1,5,0.2,0.4,0,1
8,Joelinton,7.0,br BRA,LM,29-002,82,0,0,0,0,0,0,1,0,37,2,1,1,0.0,0.0,0.0,3,0,21,25,84.0,3,21,2,2,0,,,,,,,,,,,,,,,,,,,,,0,5,0.1,0.4,0,1
