index,Player,#_x,Nation,Pos_x,Age,Min,Gls,Ast,PK,PKatt,Sh_x,SoT,CrdY_x,CrdR_x,Touches,Tkl_x,Int_x,Blocks_x,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,#_y,Pos_y,Tkl_y,TklW_x,Def 3rd,Mid 3rd,Att 3rd,Tkl_y,Att_y,Tkl%,Lost_x,Blocks_y,Sh_y,Pass,Int_y,Tkl+Int,Clr,Err,#,Pos,CrdY_y,CrdR_y,2CrdY,Fls,Fld,Off,Crs,Int,TklW_y,PKwon,PKcon,OG,Recov,Won,Lost_y,Won%,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
3,Andreas Pereira,18.0,br BRA,"DM,AM",28-228,89,0,0,0,0,0,0,1,0,59,0,0,1,0.0,0.0,0.3,9,0,37,55,67.3,5,28,1,2,0,18.0,"DM,AM",0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,18.0,"DM,AM",1,0,0,2,3,0,12,0,0,0,0,0,9,2,2,50.0,,,,,,,,,,,,,,,,,,,,,0,0
4,Antonee Robinson,33.0,us USA,LB,27-008,90,0,0,0,0,0,0,0,0,59,8,2,0,0.0,0.0,0.0,0,0,32,42,76.2,2,31,2,2,0,33.0,LB,8,6,4,4,0,4,5,80.0,1,0,0,0,2,10,6,0,33.0,LB,0,0,0,0,0,1,1,2,6,0,0,0,7,2,1,66.7,,,,,,,,,,,,,,,,,,,,,0,0
5,Bernd Leno,1.0,de GER,GK,32-165,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,30,42,71.4,0,28,0,0,0,1.0,GK,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,5.0,1.0,4.0,80.0,2.1,2.0,12.0,16.7,36.0,3.0,27.8,30.5,6.0,33.3,34.2,17.0,0.0,0.0,1.0,18.3,0,0
6,Calvin Bassey,3.0,ng NGA,CB,24-229,90,0,0,0,0,2,0,1,0,72,1,0,2,0.1,0.1,0.0,1,0,57,62,91.9,5,51,1,0,0,3.0,CB,1,1,0,1,0,1,1,100.0,0,2,1,1,0,1,3,1,3.0,CB,1,0,0,2,0,0,0,0,1,0,0,0,4,1,1,50.0,,,,,,,,,,,,,,,,,,,,,0,0
7,Emile Smith Rowe,32.0,eng ENG,AM,24-019,63,0,0,0,0,0,0,0,0,35,1,2,1,0.0,0.0,0.0,0,0,20,27,74.1,1,23,0,0,0,32.0,AM,1,1,1,0,0,1,1,100.0,0,1,0,1,2,3,0,0,32.0,AM,0,0,0,0,1,0,1,2,1,0,0,0,3,1,0,100.0,,,,,,,,,,,,,,,,,,,,,0,0
8,Harrison Reed,6.0,eng ENG,DM,29-202,1,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,6.0,DM,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,6.0,DM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0
9,Harry Wilson,8.0,wls WAL,RW,27-147,13,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,6,1,0,0,8.0,RW,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8.0,RW,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0,,,,,,,,,,,,,,,,,,,,,0,0
10,Issa Diop,31.0,fr FRA,CB,27-220,90,0,0,0,0,0,0,0,0,45,4,0,1,0.0,0.0,0.0,0,0,28,35,80.0,2,26,0,0,0,31.0,CB,4,3,2,2,0,3,3,100.0,0,1,1,0,0,4,5,0,31.0,CB,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0
11,Jay Stansfield,28.0,eng ENG,"AM,DM",21-266,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,28.0,"AM,DM",0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28.0,"AM,DM",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0
12,Kenny Tete,2.0,nl NED,RB,28-312,90,0,0,0,0,2,1,0,0,44,1,3,2,0.1,0.1,0.0,2,0,24,32,75.0,2,22,2,0,0,2.0,RB,1,0,1,0,0,1,3,33.3,2,2,0,2,3,4,1,0,2.0,RB,0,0,0,0,1,0,2,3,0,0,0,0,6,0,2,0.0,,,,,,,,,,,,,,,,,,,,,0,0
13,Raúl Jiménez,7.0,mx MEX,FW,33-103,13,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,2,1,0,0,7.0,FW,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7.0,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3,,,,,,,,,,,,,,,,,,,,,0,0
14,Rodrigo Muniz,9.0,br BRA,FW,23-104,77,0,0,0,0,2,1,0,0,17,0,1,0,0.1,0.1,0.1,2,0,5,6,83.3,1,11,0,1,1,9.0,FW,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,9.0,FW,0,0,0,0,1,0,0,1,0,0,0,0,2,4,6,40.0,,,,,,,,,,,,,,,,,,,,,0,0
15,Saša Lukić,20.0,rs SRB,DM,28-003,89,0,0,0,0,0,0,0,0,53,3,1,1,0.0,0.0,0.0,0,0,40,45,88.9,4,30,1,0,0,20.0,DM,3,2,2,1,0,0,2,0.0,2,1,0,1,1,4,1,0,20.0,DM,0,0,0,0,1,0,0,1,2,0,0,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,0,0
0,16 Players,,,,,990,0,0,0,0,7,2,3,0,497,20,9,15,0.5,0.5,0.3,12,0,290,381,76.1,21,254,16,10,3,,,20,10,17,2,1,11,22,50.0,11,15,6,9,9,29,28,0,,,3,0,0,9,17,5,8,9,10,0,0,0,36,11,18,37.9,,,,,,,,,,,,,,,,,,,,,1,1
1,Ali Al Hamadi,16.0,iq IRQ,FW,22-169,17,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,16.0,FW,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,16.0,FW,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,66.7,,,,,,,,,,,,,,,,,,,,,1,1
2,Axel Tuanzebe,40.0,cd COD,RB,26-277,73,0,0,0,0,1,0,0,0,39,3,1,1,0.1,0.1,0.0,0,0,23,27,85.2,1,13,0,0,0,40.0,RB,3,2,3,0,0,1,3,33.3,2,1,0,1,1,4,1,0,40.0,RB,0,0,0,0,1,0,0,1,2,0,0,0,2,0,3,0.0,,,,,,,,,,,,,,,,,,,,,1,1
3,Ben Johnson,18.0,eng ENG,"RB,RW",24-206,34,0,0,0,0,0,0,0,0,19,4,1,0,0.0,0.0,0.0,0,0,9,12,75.0,0,6,0,1,0,18.0,"RB,RW",4,2,4,0,0,2,3,66.7,1,0,0,0,1,5,1,0,18.0,"RB,RW",0,0,0,0,0,0,0,1,2,0,0,0,1,1,1,50.0,,,,,,,,,,,,,,,,,,,,,1,1
4,Christian Walton,28.0,eng ENG,GK,28-282,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,33,42,78.6,0,26,0,0,0,28.0,GK,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,28.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.0,2.0,3.0,60.0,2.3,6.0,14.0,42.9,36.0,7.0,33.3,30.4,6.0,33.3,31.3,16.0,1.0,6.3,1.0,13.8,1,1
5,Conor Chaplin,10.0,eng ENG,AM,27-183,64,0,0,0,0,0,0,0,0,28,2,0,2,0.0,0.0,0.0,1,0,16,23,69.6,2,16,0,0,0,10.0,AM,2,2,2,0,0,1,1,100.0,0,2,0,2,0,2,0,0,10.0,AM,0,0,0,0,2,0,0,0,2,0,0,0,2,0,3,0.0,,,,,,,,,,,,,,,,,,,,,1,1
6,Jack Taylor,14.0,ie IRL,DM,26-055,26,0,0,0,0,1,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,15,19,78.9,3,13,0,0,0,14.0,DM,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,14.0,DM,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,1,1
7,Jacob Greaves,24.0,eng ENG,CB,23-340,90,0,0,0,0,2,1,0,0,45,0,2,2,0.1,0.1,0.0,0,0,25,30,83.3,2,17,0,0,0,24.0,CB,0,0,0,0,0,0,0,,0,2,1,1,2,2,8,0,24.0,CB,0,0,0,0,3,0,0,2,0,0,0,0,2,3,2,60.0,,,,,,,,,,,,,,,,,,,,,1,1
8,Leif Davis,3.0,eng ENG,LB,24-218,90,0,0,0,0,0,0,0,0,50,4,0,0,0.0,0.0,0.0,3,0,29,41,70.7,2,20,5,0,0,3.0,LB,4,2,4,0,0,2,3,66.7,1,0,0,0,0,4,4,0,3.0,LB,0,0,0,2,1,1,5,0,2,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,1,1
9,Liam Delap,19.0,eng ENG,FW,21-191,73,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.2,1,0,6,12,50.0,0,14,2,0,0,19.0,FW,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,19.0,FW,0,0,0,1,1,0,0,0,0,0,0,0,3,1,2,33.3,,,,,,,,,,,,,,,,,,,,,1,1
10,Luke Woolfenden,6.0,eng ENG,CB,25-301,90,0,0,0,0,0,0,1,0,73,0,4,5,0.0,0.0,0.0,0,0,48,55,87.3,2,35,0,0,0,6.0,CB,0,0,0,0,0,0,0,,0,5,2,3,4,4,7,0,6.0,CB,1,0,0,1,0,0,0,4,0,0,0,0,3,1,1,50.0,,,,,,,,,,,,,,,,,,,,,1,1
11,Marcus Harness,11.0,eng ENG,AM,28-175,26,0,0,0,0,0,0,0,0,16,0,0,1,0.0,0.0,0.0,2,0,9,14,64.3,2,9,0,1,0,11.0,AM,0,0,0,0,0,0,3,0.0,3,1,1,0,0,0,0,0,11.0,AM,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,1,1
12,Massimo Luongo,25.0,au AUS,DM,31-327,64,0,0,0,0,0,0,0,0,26,2,0,2,0.0,0.0,0.0,0,0,16,19,84.2,3,13,0,0,0,25.0,DM,2,1,2,0,0,2,2,100.0,0,2,1,1,0,2,1,0,25.0,DM,0,0,0,1,1,0,0,0,1,0,0,0,4,1,0,100.0,,,,,,,,,,,,,,,,,,,,,1,1
13,Omari Hutchinson,20.0,eng ENG,"LW,RW",20-292,90,0,0,0,0,3,1,1,0,29,0,0,1,0.3,0.3,0.0,2,0,10,20,50.0,1,23,7,6,3,20.0,"LW,RW",0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,20.0,"LW,RW",1,0,0,1,4,0,1,0,0,0,0,0,6,0,3,0.0,,,,,,,,,,,,,,,,,,,,,1,1
14,Sam Morsy,5.0,eg EGY,DM,32-342,90,0,0,0,0,0,0,0,0,55,5,0,0,0.0,0.0,0.1,1,0,37,47,78.7,1,27,0,0,0,5.0,DM,5,1,2,2,1,3,4,75.0,1,0,0,0,0,5,1,0,5.0,DM,0,0,0,0,2,0,1,0,1,0,0,0,4,1,1,50.0,,,,,,,,,,,,,,,,,,,,,1,1
15,Sammie Szmodics,23.0,ie IRL,LW,28-328,17,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.0,1,0,4,4,100.0,2,9,1,1,0,23.0,LW,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,23.0,LW,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,1,1
0,15 Players,,,,,990,2,1,0,0,18,5,1,0,720,9,5,14,2.6,2.6,2.0,29,4,520,620,83.9,39,407,25,23,11,,,9,4,4,2,3,5,8,62.5,3,14,2,12,5,14,17,1,,,1,0,0,18,8,0,23,5,4,0,0,0,40,18,11,62.1,,,,,,,,,,,,,,,,,,,,,0,1
1,Alexis Mac Allister,10.0,ar ARG,DM,25-237,90,0,0,0,0,2,0,0,0,66,0,0,3,0.1,0.1,0.0,3,0,42,50,84.0,7,34,0,7,1,10.0,DM,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,1,0,10.0,DM,0,0,0,1,2,0,1,0,0,0,0,0,6,2,1,66.7,,,,,,,,,,,,,,,,,,,,,0,1
2,Alisson,1.0,br BRA,GK,31-320,90,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.0,1,0,44,51,86.3,0,37,0,0,0,1.0,GK,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,2.0,0.0,2.0,100.0,0.2,3.0,9.0,33.3,49.0,3.0,18.4,25.0,2.0,0.0,6.5,4.0,0.0,0.0,1.0,19.5,0,1
3,Andrew Robertson,26.0,sct SCO,LB,30-159,78,0,0,0,0,0,0,0,0,87,1,1,0,0.0,0.0,0.2,2,0,61,79,77.2,3,38,1,1,0,26.0,LB,1,0,1,0,0,0,0,,0,0,0,0,1,2,2,0,26.0,LB,0,0,0,1,0,0,11,1,0,0,0,0,5,0,1,0.0,,,,,,,,,,,,,,,,,,,,,0,1
4,Cody Gakpo,18.0,nl NED,FW,25-102,12,0,0,0,0,0,0,1,0,11,0,0,0,0.0,0.0,0.0,0,0,7,10,70.0,0,5,1,0,0,18.0,FW,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,18.0,FW,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,1
5,Conor Bradley,84.0,nir NIR,RB,21-039,14,0,0,0,0,2,1,0,0,31,0,0,0,0.2,0.2,0.0,1,0,22,25,88.0,1,16,1,1,1,84.0,RB,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,84.0,RB,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,,,,,,,,,,,,,,,,,,,,,0,1
6,Diogo Jota,20.0,pt POR,FW,27-257,78,1,0,0,0,3,1,0,0,27,1,1,0,0.9,0.9,0.0,1,0,9,15,60.0,2,16,2,2,1,20.0,FW,1,0,0,1,0,1,1,100.0,0,0,0,0,1,2,1,0,20.0,FW,0,0,0,0,1,0,1,1,0,0,0,0,3,3,2,60.0,,,,,,,,,,,,,,,,,,,,,0,1
7,Dominik Szoboszlai,8.0,hu HUN,AM,23-297,90,0,0,0,0,3,0,0,0,59,1,0,1,0.2,0.2,0.4,4,0,44,50,88.0,6,33,4,1,1,8.0,AM,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0,8.0,AM,0,0,0,2,1,0,2,0,0,0,0,0,4,1,2,33.3,,,,,,,,,,,,,,,,,,,,,0,1
8,Ibrahima Konaté,5.0,fr FRA,CB,25-084,45,0,0,0,0,0,0,0,0,35,0,1,1,0.0,0.0,0.0,0,0,28,30,93.3,0,22,0,1,1,5.0,CB,0,0,0,0,0,0,0,,0,1,1,0,1,1,2,0,5.0,CB,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,75.0,,,,,,,,,,,,,,,,,,,,,0,1
9,Jarell Quansah,78.0,eng ENG,CB,21-201,45,0,0,0,0,0,0,0,0,35,2,1,1,0.0,0.0,0.0,0,0,25,28,89.3,0,16,0,0,0,78.0,CB,2,2,1,1,0,0,0,,0,1,1,0,1,3,3,0,78.0,CB,0,0,0,2,0,0,0,1,2,0,0,0,0,2,2,50.0,,,,,,,,,,,,,,,,,,,,,0,1
10,Kostas Tsimikas,21.0,gr GRE,LB,28-097,12,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.0,1,0,12,13,92.3,5,9,1,0,0,21.0,LB,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,21.0,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,1
11,Luis Díaz,7.0,co COL,LW,27-217,90,0,0,0,0,3,0,0,0,44,1,0,1,0.5,0.5,0.3,7,0,31,36,86.1,2,28,9,5,5,7.0,LW,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0,7.0,LW,0,0,0,3,0,0,0,0,1,0,0,0,6,2,1,66.7,,,,,,,,,,,,,,,,,,,,,0,1
12,Mohamed Salah,11.0,eg EGY,RW,32-063,90,1,1,0,0,4,3,0,0,44,0,0,0,0.7,0.7,0.5,3,1,25,34,73.5,1,26,2,2,0,11.0,RW,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,11.0,RW,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,0,1
13,Ryan Gravenberch,38.0,nl NED,DM,22-093,90,0,0,0,0,0,0,0,0,68,3,0,3,0.0,0.0,0.0,1,1,51,59,86.4,5,40,2,2,1,38.0,DM,3,1,0,0,3,2,2,100.0,0,3,0,3,0,3,0,0,38.0,DM,0,0,0,5,1,0,0,0,1,0,0,0,2,1,0,100.0,,,,,,,,,,,,,,,,,,,,,0,1
14,Trent Alexander-Arnold,66.0,eng ENG,RB,25-315,76,0,0,0,0,1,0,0,0,58,0,0,3,0.1,0.1,0.7,4,1,38,54,70.4,5,33,2,1,0,66.0,RB,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,1,0,66.0,RB,0,0,0,0,2,0,4,0,0,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,0,1
0,14 Players,,,,,927,1,1,0,0,3,1,2,1,317,16,4,24,0.3,0.3,0.3,6,2,128,207,61.8,15,108,8,7,1,,,16,14,8,7,1,7,13,53.8,6,24,11,13,4,20,39,0,,,2,1,0,15,16,1,12,4,14,0,0,0,31,7,9,43.8,,,,,,,,,,,,,,,,,,,,,1,2
1,Alexander Isak,14.0,se SWE,FW,24-331,90,0,1,0,0,0,0,0,0,19,1,1,1,0.0,0.0,0.2,2,2,8,10,80.0,1,6,0,1,0,14.0,FW,1,1,0,1,0,0,0,,0,1,0,1,1,2,3,0,14.0,FW,0,0,0,0,1,1,0,1,1,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,1,2
2,Anthony Gordon,10.0,eng ENG,LW,23-175,69,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,2,0,11,18,61.1,2,11,4,2,1,10.0,LW,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10.0,LW,0,0,0,0,4,0,3,0,0,0,0,0,3,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1,2
3,Bruno Guimarães,39.0,br BRA,CM,26-275,90,0,0,0,0,0,0,0,0,42,6,1,4,0.0,0.0,0.0,0,0,18,28,64.3,1,17,0,0,0,39.0,CM,6,4,4,1,1,1,1,100.0,0,4,1,3,1,7,3,0,39.0,CM,0,0,0,2,6,0,3,1,4,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,1,2
