index,Player,#_x,Nation,Pos_x,Age,Min,Gls,Ast,PK,PKatt,Sh_x,SoT,CrdY_x,CrdR_x,Touches,Tkl_x,Int_x,Blocks_x,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,#_y,Pos_y,Tkl_y,TklW_x,Def 3rd,Mid 3rd,Att 3rd,Tkl_y,Att_y,Tkl%,Lost_x,Blocks_y,Sh_y,Pass,Int_y,Tkl+Int,Clr,Err,#,Pos,CrdY_y,CrdR_y,2CrdY,Fls,Fld,Off,Crs,Int,TklW_y,PKwon,PKcon,OG,Recov,Won,Lost_y,Won%,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
0,16 Players,,,,,990,1,1,0,0,14,5,2,0,640,21,19,11,2.4,2.4,2.0,24,2,430,524,82.1,43,420,15,21,8,,,21,14,9,9,3,12,20,60.0,8,11,3,8,19,40,22,0,,,2,0,0,12,10,3,18,19,14,0,0,0,58,19,16,54.3,,,,,,,,,,,,,,,,,,,,,1,0
1,Alejandro Garnacho,17.0,ar ARG,RW,20-046,30,0,1,0,0,2,0,0,0,19,1,0,0,0.7,0.7,0.2,3,1,10,11,90.9,0,11,2,2,0,17.0,RW,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,17.0,RW,0,0,0,0,1,0,1,0,1,0,0,0,2,1,1,50.0,,,,,,,,,,,,,,,,,,,,,1,0
2,Amad Diallo,16.0,ci CIV,RW,22-036,60,0,0,0,0,0,0,0,0,36,1,2,0,0.0,0.0,0.1,1,0,28,33,84.8,1,22,0,1,1,16.0,RW,1,1,0,1,0,1,1,100.0,0,0,0,0,2,3,0,0,16.0,RW,0,0,0,0,0,0,2,2,1,0,0,0,6,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1,0
3,André Onana,24.0,cm CMR,GK,28-136,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,1,0,22,29,75.9,0,24,0,0,0,24.0,GK,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,24.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,2.0,0.0,2.0,100.0,0.9,3.0,10.0,30.0,29.0,6.0,34.5,29.6,0.0,,,16.0,2.0,12.5,4.0,16.3,1,0
4,Bruno Fernandes,8.0,pt POR,"FW,AM",29-343,90,0,0,0,0,6,3,0,0,70,2,0,0,1.2,1.2,0.0,2,0,43,60,71.7,6,50,7,1,1,8.0,"FW,AM",2,1,0,2,0,1,3,33.3,2,0,0,0,0,2,0,0,8.0,"FW,AM",0,0,0,0,0,0,8,0,1,0,0,0,6,0,2,0.0,,,,,,,,,,,,,,,,,,,,,1,0
5,Casemiro,18.0,br BRA,DM,32-175,90,0,0,0,0,3,0,0,0,77,4,1,5,0.2,0.2,1.0,5,1,44,57,77.2,4,46,0,1,0,18.0,DM,4,2,4,0,0,2,4,50.0,2,5,1,4,1,5,5,0,18.0,DM,0,0,0,1,1,2,3,1,2,0,0,0,7,2,2,50.0,,,,,,,,,,,,,,,,,,,,,1,0
6,Diogo Dalot,20.0,pt POR,"LB,RB",25-151,90,0,0,0,0,0,0,0,0,67,2,1,1,0.0,0.0,0.0,1,0,49,60,81.7,3,40,1,1,1,20.0,"LB,RB",2,1,1,1,0,1,1,100.0,0,1,1,0,1,3,3,0,20.0,"LB,RB",0,0,0,2,1,0,3,1,1,0,0,0,6,2,2,50.0,,,,,,,,,,,,,,,,,,,,,1,0
7,Harry Maguire,5.0,eng ENG,CB,31-164,80,0,0,0,0,0,0,1,0,68,0,3,1,0.0,0.0,0.0,2,0,50,60,83.3,8,40,1,2,1,5.0,CB,0,0,0,0,0,0,0,,0,1,1,0,3,3,6,0,5.0,CB,1,0,0,2,0,0,0,3,0,0,0,0,5,5,1,83.3,,,,,,,,,,,,,,,,,,,,,1,0
8,Jonny Evans,35.0,nir NIR,CB,36-226,10,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,0,0,4,6,66.7,0,2,0,0,0,35.0,CB,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,35.0,CB,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0,,,,,,,,,,,,,,,,,,,,,1,0
9,Joshua Zirkzee,11.0,nl NED,FW,23-086,30,1,0,0,0,1,1,0,0,12,0,0,1,0.1,0.1,0.0,1,0,8,9,88.9,1,6,0,0,0,11.0,FW,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,11.0,FW,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,1,0
10,Kobbie Mainoo,37.0,eng ENG,DM,19-119,83,0,0,0,0,1,0,0,0,55,3,5,0,0.0,0.0,0.0,1,0,37,41,90.2,5,39,0,5,4,37.0,DM,3,3,1,1,1,3,4,75.0,1,0,0,0,5,8,0,0,37.0,DM,0,0,0,3,4,0,0,5,3,0,0,0,6,2,3,40.0,,,,,,,,,,,,,,,,,,,,,1,0
11,Lisandro Martínez,6.0,ar ARG,"CB,LB",26-211,90,0,0,0,0,0,0,0,0,70,3,3,0,0.0,0.0,0.0,3,0,55,62,88.7,9,51,1,0,0,6.0,"CB,LB",3,2,2,0,1,1,3,33.3,2,0,0,0,3,6,2,0,6.0,"CB,LB",0,0,0,1,0,0,0,3,2,0,0,0,2,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1,0
12,Marcus Rashford,10.0,eng ENG,LW,26-290,90,0,0,0,0,0,0,0,0,43,0,1,1,0.0,0.0,0.7,1,0,22,30,73.3,2,34,2,6,0,10.0,LW,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,10.0,LW,0,0,0,1,1,1,1,1,0,0,0,0,4,1,0,100.0,,,,,,,,,,,,,,,,,,,,,1,0
13,Mason Mount,7.0,eng ENG,AM,25-219,60,0,0,0,0,1,1,1,0,23,3,0,0,0.3,0.3,0.1,3,0,11,15,73.3,1,16,0,2,0,7.0,AM,3,1,0,3,0,2,2,100.0,0,0,0,0,0,3,0,0,7.0,AM,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,100.0,,,,,,,,,,,,,,,,,,,,,1,0
14,Matthijs de Ligt,4.0,nl NED,CB,25-004,10,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,4.0,CB,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4.0,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1,0
15,Noussair Mazraoui,3.0,ma MAR,RB,26-276,80,0,0,0,0,0,0,0,0,54,2,3,1,0.0,0.0,0.0,0,0,41,45,91.1,3,34,1,0,0,3.0,RB,2,2,1,0,1,1,1,100.0,0,1,0,1,3,5,2,0,3.0,RB,0,0,0,0,1,0,0,3,2,0,0,0,5,3,1,75.0,,,,,,,,,,,,,,,,,,,,,1,0
0,16 Players,,,,,990,0,0,0,0,10,2,3,0,540,24,9,9,0.4,0.4,0.4,19,0,329,424,77.6,28,329,17,22,8,,,24,17,12,11,1,11,19,57.9,8,9,2,7,9,33,18,2,,,3,0,0,10,11,1,21,9,17,0,0,0,53,16,19,45.7,,,,,,,,,,,,,,,,,,,,,0,0
1,Adama Traoré,11.0,es ESP,RW,28-204,77,0,0,0,0,3,0,0,0,36,1,0,1,0.1,0.1,0.0,4,0,14,21,66.7,0,25,5,9,4,11.0,RW,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,11.0,RW,0,0,0,3,2,0,1,0,0,0,0,0,6,3,1,75.0,,,,,,,,,,,,,,,,,,,,,0,0
2,Alex Iwobi,17.0,ng NGA,LW,28-105,90,0,0,0,0,1,0,0,0,42,4,0,0,0.0,0.0,0.0,0,0,19,29,65.5,2,31,1,5,1,17.0,LW,4,3,1,2,1,1,1,100.0,0,0,0,0,0,4,1,0,17.0,LW,0,0,0,1,0,0,3,0,3,0,0,0,5,0,3,0.0,,,,,,,,,,,,,,,,,,,,,0,0
