index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%,home,game_id
0,14 Players,,,,,990,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,16.0,5.0,3.0,18.0,18.0,25.0,0.0,0.0,0.0,,,,,0,45
1,Adam Clayton,8.0,eng ENG,MF,27-247,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,45
2,Adam Forshaw,34.0,eng ENG,DM,24-345,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,,,,,0,45
3,Antonio Barragán,17.0,es ESP,RB,29-097,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,,,,,0,45
4,Ben Gibson,6.0,eng ENG,CB,23-246,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,,,,,0,45
5,Daniel Ayala,4.0,es ESP,CB,25-315,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,,,,,0,45
6,David Nugent,35.0,eng ENG,FW,31-138,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,0,45
7,Emilio Nsue,24.0,gq EQG,AM,26-353,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0,45
8,Gastón Ramírez,21.0,uy URU,AM,25-290,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,0,45
9,George Friend,3.0,eng ENG,LB,28-336,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,6.0,0.0,0.0,0.0,,,,,0,45
10,Marten de Roon,14.0,nl NED,DM,25-172,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,,,,,0,45
11,Stewart Downing,19.0,eng ENG,AM,32-057,90,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,,,,,0,45
12,Viktor Fischer,11.0,dk DEN,"FW,MF",22-100,21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,45
13,Víctor Valdés,26.0,es ESP,GK,34-247,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,50.0,0,45
14,Álvaro Negredo,10.0,es ESP,FW,31-028,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,0,45
0,14 Players,,,,,990,3.0,2.0,1.0,1.0,10.0,5.0,3.0,0.0,14.0,17.0,0.0,13.0,15.0,13.0,0.0,1.0,0.0,,,,,1,46
1,Craig Cathcart,15.0,nir NIR,CB,27-225,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,,,,,1,46
2,Daryl Janmaat,22.0,nl NED,DM,27-058,50,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,1,46
3,Heurelho Gomes,1.0,br BRA,GK,35-216,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0,1,46
4,Isaac Success,10.0,ng NGA,"FW,MF",20-255,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,46
5,José Holebas,25.0,gr GRE,DM,32-083,90,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,,,,,1,46
6,Juan Zúñiga,18.0,co COL,"DF,MF",30-279,9,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1,46
7,Miguel Britos,3.0,uy URU,CB,31-063,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,1,46
8,Nordin Amrabat,7.0,ma MAR,"FW,MF",29-171,40,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,,,,,1,46
9,Odion Ighalo,24.0,ng NGA,FW,27-094,89,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,1,46
10,Roberto Pereyra,37.0,ar ARG,AM,25-255,90,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,1,46
11,Sebastian Prödl,5.0,at AUT,CB,29-089,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,,,,,1,46
12,Troy Deeney,9.0,eng ENG,FW,28-081,90,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,46
13,Valon Behrami,11.0,ch SUI,DM,31-152,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,1,46
14,Étienne Capoue,29.0,fr FRA,DM,28-069,81,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,,,,,1,46
0,14 Players,,,,,990,1.0,0.0,0.0,0.0,15.0,2.0,4.0,0.0,19.0,14.0,3.0,32.0,14.0,18.0,0.0,0.0,1.0,,,,,0,46
1,Anthony Martial,11.0,fr FRA,AM,20-288,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0,46
2,Antonio Valencia,25.0,ec ECU,RB,31-045,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,,,,,0,46
3,Ashley Young,18.0,eng ENG,"DF,FW",31-071,53,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,,,,,0,46
4,Chris Smalling,12.0,eng ENG,CB,26-301,90,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,0,46
5,David de Gea,1.0,es ESP,GK,25-316,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,50.0,0,46
6,Eric Bailly,3.0,ci CIV,CB,22-159,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,,,,,0,46
7,Juan Mata,8.0,es ESP,"FW,MF",28-143,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,,,,,0,46
8,Luke Shaw,23.0,eng ENG,LB,21-068,84,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,,,,,0,46
9,Marcus Rashford,19.0,eng ENG,AM,18-323,90,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,0,46
10,Marouane Fellaini,27.0,be BEL,DM,28-301,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,,,,,0,46
11,Memphis,7.0,nl NED,"FW,MF",22-218,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0,46
12,Paul Pogba,6.0,fr FRA,DM,23-187,90,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,,,,,0,46
13,Wayne Rooney,10.0,eng ENG,AM,30-330,90,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,,,,,0,46
14,Zlatan Ibrahimović,9.0,se SWE,FW,34-351,90,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,0,46
0,14 Players,,,,,990,4.0,2.0,0.0,0.0,14.0,8.0,2.0,0.0,15.0,9.0,2.0,27.0,21.0,18.0,0.0,0.0,0.0,,,,,1,47
1,Andros Townsend,10.0,eng ENG,AM,25-064,84,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,10.0,1.0,2.0,0.0,0.0,0.0,,,,,1,47
2,Christian Benteke,17.0,be BEL,FW,25-290,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,47
3,Damien Delaney,27.0,ie IRL,DF,35-060,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,,,,,1,47
4,James McArthur,18.0,sct SCO,DM,28-347,90,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,,,,,1,47
5,James Tomkins,5.0,eng ENG,CB,27-173,45,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,1,47
6,Jason Puncheon,42.0,eng ENG,AM,30-092,90,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,,,,,1,47
7,Joe Ledley,16.0,wls WAL,DM,29-239,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,,,,,1,47
8,Joel Ward,2.0,eng ENG,RB,26-325,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,,,,,1,47
9,Lee Chung-yong,14.0,kr KOR,"FW,MF",28-078,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,47
10,Martin Kelly,34.0,eng ENG,LB,26-144,90,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,1,47
11,Mathieu Flamini,4.0,fr FRA,MF,32-195,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,47
12,Scott Dann,6.0,eng ENG,CB,29-217,90,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1,47
13,Steve Mandanda,30.0,fr FRA,GK,31-174,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,75.0,1,47
14,Wilfried Zaha,11.0,ci CIV,AM,23-313,90,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,,,,,1,47
0,12 Players,,,,,990,1.0,0.0,0.0,0.0,11.0,4.0,1.0,0.0,10.0,15.0,3.0,25.0,18.0,12.0,0.0,0.0,0.0,,,,,0,47
1,Bojan Krkić,27.0,es ESP,AM,26-021,67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,,,,,0,47
2,Bruno Martins Indi,15.0,nl NED,LB,24-223,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,,,,,0,47
3,Geoff Cameron,20.0,us USA,CB,31-069,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,0,47
4,Glen Johnson,8.0,eng ENG,RB,32-026,90,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,,,,,0,47
5,Glenn Whelan,6.0,ie IRL,DM,32-249,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,,,,,0,47
6,Joe Allen,4.0,wls WAL,DM,26-188,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,6.0,0.0,0.0,0.0,,,,,0,47
7,Jonathan Walters,19.0,ie IRL,AM,32-364,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,,,,,0,47
8,Mame Biram Diouf,18.0,sn SEN,"FW,MF",28-277,23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0,47
9,Marko Arnautović,10.0,at AUT,AM,27-152,90,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,,,,,0,47
10,Ryan Shawcross,17.0,eng ENG,CB,28-350,90,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,0,47
11,Shay Given,24.0,ie IRL,GK,40-151,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,42.9,0,47
12,Wilfried Bony,12.0,ci CIV,FW,27-283,90,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0,47
0,14 Players,,,,,990,1.0,0.0,0.0,0.0,19.0,6.0,1.0,0.0,14.0,9.0,5.0,34.0,9.0,20.0,0.0,0.0,0.0,,,,,1,48
1,Charlie Austin,10.0,eng ENG,FW,27-075,37,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,48
2,Cuco Martina,15.0,cw CUW,"DF,MF",26-359,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,1,48
3,Cédric Soares,2.0,pt POR,RB,25-018,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,4.0,1.0,0.0,0.0,0.0,,,,,1,48
4,Dušan Tadić,11.0,rs SRB,FW,27-303,80,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,,,,,1,48
5,Fraser Forster,1.0,eng ENG,GK,28-185,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,100.0,1,48
6,Jordy Clasie,4.0,nl NED,CM,25-083,53,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,1,48
7,José Fonte,6.0,pt POR,CB,32-271,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,,,,,1,48
8,Nathan Redmond,22.0,eng ENG,FW,22-196,90,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,1,48
9,Oriol Romeu,14.0,es ESP,DM,24-360,90,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,,,,,1,48
10,Pierre Højbjerg,23.0,dk DEN,MF,21-044,37,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,,,,,1,48
11,Ryan Bertrand,21.0,eng ENG,LB,27-044,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,,,,,1,48
12,Shane Long,7.0,ie IRL,FW,29-240,53,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1,48
13,Steven Davis,8.0,nir NIR,CM,31-261,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,,,,,1,48
14,Virgil van Dijk,17.0,nl NED,CB,25-072,90,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,1,48
0,14 Players,,,,,990,0.0,0.0,0.0,0.0,9.0,3.0,1.0,0.0,9.0,13.0,1.0,18.0,5.0,8.0,0.0,0.0,0.0,,,,,0,48
1,Borja Bastón,10.0,es ESP,FW,24-024,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,48
2,Federico Fernández,33.0,ar ARG,CB,27-210,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,0,48
3,Fernando Llorente,9.0,es ESP,FW,31-205,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,48
4,Gylfi Sigurðsson,23.0,is ISL,FW,27-010,90,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,0,48
5,Jack Cork,24.0,eng ENG,CM,27-085,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,0,48
6,Jefferson Montero,20.0,ec ECU,"FW,MF",27-017,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,0,48
7,Jordi Amat,2.0,id IDN,CB,24-181,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,,,,,0,48
8,Ki Sung-yueng,4.0,kr KOR,CM,27-238,65,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,0,48
9,Kyle Naughton,26.0,eng ENG,RB,27-306,90,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,0,48
10,Leroy Fer,8.0,nl NED,CM,26-257,90,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0,48
11,Modou Barrow,17.0,gm GAM,FW,23-341,90,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,,,,,0,48
12,Stephen Kingsley,35.0,sct SCO,LB,22-057,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,0,48
13,Àngel Rangel,22.0,es ESP,DF,33-326,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,0,48
14,Łukasz Fabiański,1.0,pl POL,GK,31-153,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,83.3,0,48
0,14 Players,,,,,990,1.0,0.0,0.0,0.0,31.0,9.0,1.0,0.0,7.0,15.0,0.0,30.0,15.0,7.0,0.0,0.0,0.0,,,,,1,49
1,Ben Davies,33.0,wls WAL,"DF,MF",23-147,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,49
2,Dele Alli,20.0,eng ENG,AM,20-160,90,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,,,,,1,49
3,Eric Dier,15.0,eng ENG,CB,22-247,76,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,1,49
4,Harry Kane,10.0,eng ENG,FW,23-052,86,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,1,49
5,Hugo Lloris,1.0,fr FRA,GK,29-267,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,1,49
6,Jan Vertonghen,5.0,be BEL,LB,29-147,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,,,,,1,49
7,Kyle Walker,2.0,eng ENG,RB,26-113,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,,,,,1,49
8,Mousa Dembélé,19.0,be BEL,DM,29-064,73,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,1,49
9,Moussa Sissoko,17.0,fr FRA,AM,27-033,90,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,1,49
10,Son Heung-min,7.0,kr KOR,AM,24-072,90,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,,,,,1,49
11,Toby Alderweireld,4.0,be BEL,CB,27-200,90,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,1,49
12,Victor Wanyama,12.0,ke KEN,DM,25-085,90,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,1,49
13,Vincent Janssen,9.0,nl NED,FW,22-095,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,49
14,Érik Lamela,11.0,ar ARG,"FW,MF",24-198,17,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,,,,,1,49
0,14 Players,,,,,989,0.0,0.0,0.0,0.0,6.0,2.0,7.0,1.0,16.0,8.0,0.0,7.0,23.0,15.0,0.0,0.0,0.0,,,,,0,49
1,Adnan Januzaj,44.0,be BEL,FW,21-226,89,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,,,,,0,49
2,Didier Ibrahim Ndong,17.0,ga GAB,CM,22-093,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,,,,,0,49
3,Duncan Watmore,14.0,eng ENG,"FW,MF",22-194,28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0,49
4,Jan Kirchhoff,27.0,de GER,CM,25-353,78,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,,,,,0,49
5,Jason Denayer,4.0,be BEL,RB,21-082,89,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,,,,0,49
6,Javier Manquillo,21.0,es ESP,LB,22-136,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,,,,,0,49
7,Jermain Defoe,18.0,eng ENG,FW,33-347,90,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0,49
8,Jordan Pickford,13.0,eng ENG,GK,22-195,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,8.0,88.9,0,49
9,Lamine Koné,23.0,ci CIV,CB,27-230,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,,,,,0,49
10,Lee Cattermole,6.0,eng ENG,CM,28-181,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,,,,,0,49
11,Paddy McNair,19.0,nir NIR,"DF,MF",21-144,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,49
12,Papy Djilobodji,5.0,sn SEN,CB,27-292,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,,,0,49
