index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%,home,game_id
2,Cédric Soares,2.0,pt POR,RB,24-348,79,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,,,,,1,1
3,Dušan Tadić,11.0,rs SRB,FW,27-267,90,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,,,,,1,1
4,Fraser Forster,1.0,eng ENG,GK,28-149,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1
5,James Ward-Prowse,16.0,eng ENG,CM,21-286,54,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1,1
6,Jérémy Pied,26.0,fr FRA,"DF,FW",27-172,11,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,1,1
7,Matt Targett,33.0,eng ENG,LB,20-330,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,,,,,1,1
8,Maya Yoshida,3.0,jp JPN,CB,27-355,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,,,,,1,1
9,Nathan Redmond,22.0,eng ENG,FW,22-160,90,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,1,1
10,Oriol Romeu,14.0,es ESP,DM,24-324,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,,,,,1,1
11,Pierre Højbjerg,23.0,dk DEN,MF,21-008,36,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1,1
12,Shane Long,7.0,ie IRL,FW,29-204,82,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,1,1
13,Steven Davis,8.0,nir NIR,CM,31-225,90,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,,,,,1,1
14,Virgil van Dijk,17.0,nl NED,CB,25-036,90,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,1,1
0,14 Players,,,,,975,1.0,1.0,0.0,0.0,5.0,1.0,2.0,1.0,14.0,8.0,0.0,15.0,18.0,18.0,0.0,0.0,0.0,,,,,0,1
1,Adlène Guedioura,17.0,dz ALG,CM,30-275,72,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,,,,,0,1
